Genes	KEGG_ID	Metabolism	Pathways	Genes_name	Isoforms
ACACB	hsa00620 / hsa00640 / hsa00061	Carbohydrate metabolism / Lipid metabolism	Pyruvate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human) / Fatty acid biosynthesis - Homo sapiens (human)	acetyl-CoA	acetyl-CoA carboxylase beta
ACAD8	hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA dehydrogenase family member 8
ACADL	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA dehydrogenase long chain
ACADM	hsa00071 / hsa00280	Lipid metabolism / Amino acid metabolism	Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA dehydrogenase medium chain
ACADS	hsa00640 / hsa00650 / hsa00071 / hsa00280 / hsa00410	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Butanoate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA dehydrogenase short chain
ACADSB	hsa00071 / hsa00280	Lipid metabolism / Amino acid metabolism	Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA dehydrogenase short/branched chain
ACADVL	hsa00071	Lipid metabolism	Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA dehydrogenase very long chain
ACAT1	hsa00620 / hsa00630 / hsa00650 / hsa00071 / hsa00280 / hsa00310 / hsa00380	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism	Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Butanoate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	acetyl-CoA	acetyl-CoA acetyltransferase 1
ACAT2	hsa00620 / hsa00630 / hsa00650 / hsa00071 / hsa00280 / hsa00310 / hsa00380	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism	Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Butanoate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human) / Lysine degradation - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	acetyl-CoA	acetyl-CoA acetyltransferase 2
ACER1	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	alkaline	alkaline ceramidase 1
ACER2	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	alkaline	alkaline ceramidase 2
ACER3	hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	alkaline	alkaline ceramidase 3
ACHE	hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	acetylcholinesterase	acetylcholinesterase (Yt blood group)
ACLY	hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	ATP	ATP citrate lyase
ACMSD	hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	aminocarboxymuconate	aminocarboxymuconate semialdehyde decarboxylase
ACO1	hsa00020 / hsa00630	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	aconitase	aconitase 1
ACO2	hsa00020 / hsa00630	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	aconitase	aconitase 2
ACOT1	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	acyl-CoA	acyl-CoA thioesterase 1
ACOT12	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA thioesterase 12
ACOT2	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	acyl-CoA	acyl-CoA thioesterase 2
ACOT4	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	acyl-CoA	acyl-CoA thioesterase 4
ACOT7	hsa00062 / hsa01040	Lipid metabolism	Fatty acid elongation - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human)	acyl-CoA	acyl-CoA thioesterase 7
ACOT8	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	acyl-CoA	acyl-CoA thioesterase 8
ACOX1	hsa00640 / hsa00071 / hsa00592 / hsa01040 / hsa00410	Carbohydrate metabolism / Lipid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA oxidase 1
ACOX2	hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	acyl-CoA	acyl-CoA oxidase 2
ACOX3	hsa00640 / hsa00071 / hsa00592 / hsa01040 / hsa00410	Carbohydrate metabolism / Lipid metabolism / Metabolism of other amino acids	Propanoate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / alpha-Linolenic acid metabolism - Homo sapiens (human) / Biosynthesis of unsaturated fatty acids - Homo sapiens (human) / beta-Alanine metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA oxidase 3, pristanoyl
ACP1	hsa00730 / hsa00740	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human) / Riboflavin metabolism - Homo sapiens (human)	acid	acid phosphatase 1
ACP2	hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	acid	acid phosphatase 2, lysosomal
ACP5	hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	acid	acid phosphatase 5, tartrate resistant
ACSBG1	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase bubblegum family member 1
ACSBG2	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase bubblegum family member 2
ACSF3	hsa00061 / hsa00280	Lipid metabolism / Amino acid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase family member 3
ACSL1	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase long chain family member 1
ACSL3	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase long chain family member 3
ACSL4	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase long chain family member 4
ACSL5	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase long chain family member 5
ACSL6	hsa00061 / hsa00071	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase long chain family member 6
ACSM1	hsa00650 / hsa00785	Carbohydrate metabolism / Metabolism of cofactors and vitamins	Butanoate metabolism - Homo sapiens (human) / Lipoic acid metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 1
ACSM2A	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 2A
ACSM2B	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 2B
ACSM3	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 3
ACSM4	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 4
ACSM5	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 5
ACSM6	hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase medium chain family member 6
ACSS1	hsa00010 / hsa00620 / hsa00630 / hsa00640	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase short chain family member 1
ACSS2	hsa00010 / hsa00620 / hsa00630 / hsa00640	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Propanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase short chain family member 2
ACSS3	hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	acyl-CoA	acyl-CoA synthetase short chain family member 3
ACY1	hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	aminoacylase	aminoacylase 1
ACYP1	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	acylphosphatase	acylphosphatase 1
ACYP2	hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	acylphosphatase	acylphosphatase 2
ADA	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenosine	adenosine deaminase
CECR1	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenosine	adenosine deaminase 2
ADCY1	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 1
ADCY10	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 10
ADCY2	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 2
ADCY3	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 3
ADCY4	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 4
ADCY5	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 5
ADCY6	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 6
ADCY7	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 7
ADCY8	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 8
ADCY9	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate cyclase 9
ADH1A	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 1A (class I), alpha polypeptide
ADH1B	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 1B (class I), beta polypeptide
ADH1C	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 1C (class I), gamma polypeptide
ADH4	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 4 (class II), pi polypeptide
ADH5	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 5 (class III), chi polypeptide
ADH6	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 6 (class V)
ADH7	hsa00010 / hsa00620 / hsa00071 / hsa00350 / hsa00830	Carbohydrate metabolism / Lipid metabolism / Amino acid metabolism / Metabolism of cofactors and vitamins	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Fatty acid degradation - Homo sapiens (human) / Tyrosine metabolism - Homo sapiens (human) / Retinol metabolism - Homo sapiens (human)	alcohol	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
ADI1	hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	acireductone	acireductone dioxygenase 1
ADK	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenosine	adenosine kinase
ADO	hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	2-aminoethanethiol	2-aminoethanethiol dioxygenase
ADPGK	hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADP	ADP dependent glucokinase
ADPRM	hsa00564 / hsa00230	Lipid metabolism / Nucleotide metabolism	Glycerophospholipid metabolism - Homo sapiens (human) / Purine metabolism - Homo sapiens (human)	ADP-ribose/CDP-alcohol	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
ADSL	hsa00230 / hsa00250	Nucleotide metabolism / Amino acid metabolism	Purine metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	adenylosuccinate	adenylosuccinate lyase
ADSSL1	hsa00230 / hsa00250	Nucleotide metabolism / Amino acid metabolism	Purine metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	adenylosuccinate	adenylosuccinate synthase 1
ADSS	hsa00230 / hsa00250	Nucleotide metabolism / Amino acid metabolism	Purine metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	adenylosuccinate	adenylosuccinate synthase 2
AFMID	hsa00630 / hsa00380	Carbohydrate metabolism / Amino acid metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Tryptophan metabolism - Homo sapiens (human)	arylformamidase	arylformamidase
AGK	hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	acylglycerol	acylglycerol kinase
AGL	hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	amylo-alpha-1,	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
AGMAT	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	agmatinase	agmatinase (putative)
AGPAT1	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 1
AGPAT2	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 2
AGPAT3	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 3
AGPAT4	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 4
AGPAT5	hsa00561 / hsa00564	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human) / Glycerophospholipid metabolism - Homo sapiens (human)	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 5
AGPS	hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	alkylglycerone	alkylglycerone phosphate synthase
AGXT	hsa00630 / hsa00250 / hsa00260	Carbohydrate metabolism / Amino acid metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human) / Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human)	alanine--glyoxylate	alanine--glyoxylate aminotransferase
AGXT2	hsa00250 / hsa00260 / hsa00270 / hsa00280	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human) / Glycine, serine and threonine metabolism - Homo sapiens (human) / Cysteine and methionine metabolism - Homo sapiens (human) / Valine, leucine and isoleucine degradation - Homo sapiens (human)	alanine--glyoxylate	alanine--glyoxylate aminotransferase 2
AHCY	hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	adenosylhomocysteinase	adenosylhomocysteinase
AHCYL1	hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	adenosylhomocysteinase	adenosylhomocysteinase like 1
AHCYL2	hsa00270 / hsa00670	Amino acid metabolism / Metabolism of cofactors and vitamins	Cysteine and methionine metabolism - Homo sapiens (human) / One carbon pool by folate - Homo sapiens (human)	adenosylhomocysteinase	adenosylhomocysteinase like 2
AK1	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 1
AK2	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 2
AK3	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 3
AK4	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 4
AK5	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 5
AK6	hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 6
AK7	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 7
AK8	hsa00230 / hsa00730	Nucleotide metabolism / Metabolism of cofactors and vitamins	Purine metabolism - Homo sapiens (human) / Thiamine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 8
AK9	hsa00230 / hsa00240	Nucleotide metabolism	Purine metabolism - Homo sapiens (human) / Pyrimidine metabolism - Homo sapiens (human)	adenylate	adenylate kinase 9
AKR1A1	hsa00010 / hsa00040 / hsa00053 / hsa00620 / hsa00561	Carbohydrate metabolism / Lipid metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human) / Pentose and glucuronate interconversions - Homo sapiens (human) / Ascorbate and aldarate metabolism - Homo sapiens (human) / Pyruvate metabolism - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member A1
AKR1B1	hsa00040 / hsa00051 / hsa00052 / hsa00561 / hsa00790	Carbohydrate metabolism / Lipid metabolism / Metabolism of cofactors and vitamins	Pentose and glucuronate interconversions - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human) / Galactose metabolism - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member B
AKR1B10	hsa00040 / hsa00051 / hsa00052 / hsa00561 / hsa00790	Carbohydrate metabolism / Lipid metabolism / Metabolism of cofactors and vitamins	Pentose and glucuronate interconversions - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human) / Galactose metabolism - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member B10
AKR1B15	hsa00040 / hsa00051 / hsa00052 / hsa00561 / hsa00790	Carbohydrate metabolism / Lipid metabolism / Metabolism of cofactors and vitamins	Pentose and glucuronate interconversions - Homo sapiens (human) / Fructose and mannose metabolism - Homo sapiens (human) / Galactose metabolism - Homo sapiens (human) / Glycerolipid metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member B15
AKR1C1	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member C1
AKR1C2	hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member C2
AKR1C3	hsa00140 / hsa00590 / hsa00790	Lipid metabolism / Metabolism of cofactors and vitamins	Steroid hormone biosynthesis - Homo sapiens (human) / Arachidonic acid metabolism - Homo sapiens (human) / Folate biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member C3
AKR1C4	hsa00120 / hsa00140	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human) / Steroid hormone biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member C4
AKR1D1	hsa00120 / hsa00140	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human) / Steroid hormone biosynthesis - Homo sapiens (human)	aldo-keto	aldo-keto reductase family 1 member D1
ALAD	hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	aminolevulinate	aminolevulinate dehydratase
ALAS1	hsa00260 / hsa00860	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / Porphyrin metabolism - Homo sapiens (human)	5'-aminolevulinate	5'-aminolevulinate synthase 1
ALAS2	hsa00260 / hsa00860	Amino acid metabolism / Metabolism of cofactors and vitamins	Glycine, serine and threonine metabolism - Homo sapiens (human) / Porphyrin metabolism - Homo sapiens (human)	5'-aminolevulinate	5'-aminolevulinate synthase 2
ALDH18A1	hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 18 family member A1
ALDH1A1	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 1 family member A1
ALDH1A2	hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	aldehyde	aldehyde dehydrogenase 1 family member A2
