genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
AANAT	LAML	-0.248877314159658	0.0410246057667082	1.38695558368537	Overexpression	****	3.6e-32	31.4436974992327	Gene expression	Stemness	0.127	NS						
AANAT	LGG	-0.247204109549286	0.0306182529985148	1.51401959269555	Unchanged	ns	0.7	0.154901959985743	Gene expression	Stemness	0.000841	Risky	0.00063	Risky	0.743	NS	0.00278	Risky
AANAT	LIHC	0.161374633857645	0.0429480229584451	1.36705682340433	Overexpression	*	0.023	1.63827216398241	Gene expression	Stemness	0.151	NS	0.537	NS	0.0355	Risky	0.0176	Risky
AANAT	THCA	-0.146604514534281	0.034521403884862	1.46191155110714	Underexpression	****	5.7e-84	83.2441251443275	Gene expression	TMB	0.143	NS	0.0266	Risky	0.866	NS	0.821	NS
AANAT	THYM	-0.286999456135382	3.55761258084851e-07	6.44884134775312	Unchanged	ns	0.12	0.920818753952375	Gene expression	Stemness	0.0993	NS	0.38	NS			0.0295	Risky
AASDHPPT	COAD	0.243691328051933	6.98297322165718e-06	5.15595962339058	Overexpression	****	3.7e-75	74.431798275933	Gene expression	Stemness	0.876	NS	0.776	NS	0.497	NS	0.882	NS
AASDHPPT	ESCA	0.265318346628826	0.00025978053588054	3.58539339166309	Overexpression	****	4.8e-67	66.3187587626244	Gene expression	Stemness	0.219	NS	0.299	NS	0.51	NS	0.963	NS
AASDHPPT	GBM	0.402810766261094	1.03089571706804e-11	10.9867852646801	Overexpression	****	6.9e-10	9.16115090926274	Gene expression	Stemness	0.722	NS	0.796	NS			0.177	NS
AASDHPPT	KICH	-0.319947921608369	0.00277849884032877	2.55618978014149	Unchanged	ns	0.29	0.537602002101044	Gene expression	Stemness	0.156	NS	0.146	NS	0.442	NS	0.255	NS
AASDHPPT	LAML	0.355130089453706	0.000991618651814277	3.00365531298143	Underexpression	****	3.2e-31	30.4948500216801	Gene expression	Stemness	0.329	NS						
AASDHPPT	LGG	0.421974209288291	0.00475154928917373	2.3231647613156	Overexpression	****	8.1e-72	71.0915149811213	Gene expression	Stemness	0.772	NS	0.77	NS	0.348	NS	0.504	NS
AASDHPPT	LUAD	0.16626593919048	0.00260744646164716	2.58378460012096	Overexpression	****	2.2e-67	66.6575773191778	Gene expression	MSI	0.0599	NS	0.172	NS	0.783	NS	0.467	NS
AASDHPPT	LUAD	0.214753621111179	1.54762495740754e-06	5.81033427534716	Overexpression	****	2.2e-67	66.6575773191778	Gene expression	Stemness	0.0599	NS	0.172	NS	0.783	NS	0.467	NS
AASDHPPT	LUSC	0.169902171593323	0.00884720009911561	2.05319415008143	Overexpression	****	5.9e-76	75.2291479883579	Gene expression	MSI	0.761	NS	0.282	NS	0.446	NS	0.366	NS
AASDHPPT	LUSC	0.30881047027679	0.0470295048258549	1.32762959392096	Overexpression	****	5.9e-76	75.2291479883579	Gene expression	Stemness	0.761	NS	0.282	NS	0.446	NS	0.366	NS
AASDHPPT	PAAD	-0.298381569573311	0.000124923796328398	3.90335482639971	Overexpression	****	4e-32	31.397940008672	Gene expression	Stemness	0.606	NS	0.502	NS	0.104	NS	0.603	NS
AASDHPPT	PCPG	0.329897678905426	6.71321952839756e-05	4.17306915075746	Unchanged	ns	0.093	1.03151705144606	Gene expression	Stemness	0.701	NS	0.882	NS	0.596	NS	0.743	NS
AASDHPPT	STAD	0.302707861746918	2.15929847676232e-22	21.6656873216068	Overexpression	****	6.9e-67	66.1611509092627	Gene expression	Stemness	0.888	NS	0.86	NS	0.29	NS	0.416	NS
AASDHPPT	STAD	0.165533623051753	0.0256579814348153	1.5907775134406	Overexpression	****	6.9e-67	66.1611509092627	Gene expression	TMB	0.888	NS	0.86	NS	0.29	NS	0.416	NS
AASDHPPT	THCA	-0.171436806242447	1.97516688135141e-06	5.70439620505613	Overexpression	****	8.4e-12	11.0757207139381	Gene expression	Stemness	0.341	NS	0.959	NS	0.321	NS	0.167	NS
AASDHPPT	THYM	-0.46673355523724	3.89739426333899e-09	8.40922565842811	Overexpression	****	3.1e-18	17.5086383061657	Gene expression	Stemness	0.965	NS	0.114	NS			0.443	NS
AASS	BLCA	-0.278401959104375	1.43314083123707e-07	6.84371113045129	Underexpression	****	1.7e-10	9.76955107862173	Gene expression	Stemness	0.8	NS	0.591	NS	0.275	NS	0.193	NS
AASS	BRCA	-0.566953106284461	2.66343142223018e-07	6.57455848090672	Underexpression	****	1.4e-131	130.853871964322	Gene expression	Stemness	0.461	NS	0.2	NS	0.0638	NS	0.294	NS
AASS	CESC	-0.213154360784405	0.0169103587687486	1.77184717834933	Underexpression	****	5e-08	7.30102999566398	Gene expression	Stemness	0.94	NS	0.855	NS	0.647	NS	0.796	NS
AASS	COAD	-0.442337909178344	0.00661441301845286	2.17950869027585	Underexpression	****	2.1e-71	70.6777807052661	Gene expression	Stemness	0.155	NS	0.0256	Risky	0.854	NS	0.483	NS
AASS	ESCA	-0.284440088728633	3.27782667354838e-100	99.4844140149851	Underexpression	****	1.6e-71	70.7958800173441	Gene expression	Stemness	0.102	NS	0.614	NS	0.898	NS	0.96	NS
AASS	KICH	-0.668322016991073	6.38703180227063e-13	12.1947009214001	Underexpression	****	2.5e-15	14.602059991328	Gene expression	Stemness	0.514	NS	0.413	NS	0.975	NS	0.639	NS
AASS	KIRC	-0.218059085642717	6.70034749163355e-15	14.1739026734506	Underexpression	****	3.1e-19	18.5086383061657	Gene expression	Stemness	0.155	NS	0.0148	Protective	0.914	NS	0.00975	Protective
AASS	KIRP	-0.291233644939112	5.54348593722237e-28	27.2562170498571	Underexpression	****	2.1e-07	6.67778070526608	Gene expression	Stemness	0.122	NS	0.000769	Protective	0.474	NS	0.0494	Protective
AASS	LGG	-0.24669426764374	0.002927092986679	2.53356348085964	Overexpression	****	8.4e-129	128.075720713938	Gene expression	Stemness	4.19e-05	Risky	1.65e-05	Risky	0.266	NS	4.38e-06	Risky
AASS	LIHC	-0.171131471681302	2.76061034181245e-15	14.5589948893923	Underexpression	****	2.6e-25	24.5850266520292	Gene expression	Stemness	0.0392	Protective	0.173	NS	0.53	NS	0.606	NS
AASS	LUAD	-0.142602365382421	0.0423809123996811	1.37282969779319	Underexpression	****	4.5e-91	90.3467874862247	Gene expression	TMB	0.0587	NS	0.417	NS	0.88	NS	0.741	NS
AASS	LUAD	-0.313257959828159	0.00125446705631359	2.90154073925099	Underexpression	****	4.5e-91	90.3467874862247	Gene expression	Stemness	0.0587	NS	0.417	NS	0.88	NS	0.741	NS
AASS	LUSC	-0.146605908044853	2.16479178671562e-11	10.6645838684695	Underexpression	****	6e-85	84.2218487496164	Gene expression	Stemness	0.639	NS	0.113	NS	0.703	NS	0.926	NS
AASS	MESO	-0.421604475473217	0.00971829276644139	2.01241002182634	""	""			Gene expression	Stemness	0.981	NS	0.375	NS	0.99	NS	0.38	NS
AASS	OV	-0.214084992452908	2.0818625566212e-08	7.68154794575311	Underexpression	****	2e-49	48.698970004336	Gene expression	Stemness	1	NS	0.737	NS	0.367	NS	0.893	NS
AASS	PAAD	-0.266960776451193	0.00995743506349985	2.00185251712106	Underexpression	****	5.6e-39	38.2518119729938	Gene expression	MSI	0.47	NS	0.454	NS	0.0699	NS	0.877	NS
AASS	PAAD	-0.58823027461415	0.000905303726077486	3.04320569214297	Underexpression	****	5.6e-39	38.2518119729938	Gene expression	Stemness	0.47	NS	0.454	NS	0.0699	NS	0.877	NS
AASS	READ	-0.460060598630943	3.79453903596382e-21	20.4208409750509	Underexpression	****	1.6e-41	40.7958800173441	Gene expression	Stemness	0.734	NS	0.983	NS	0.615	NS	0.222	NS
AASS	SARC	-0.198783981230254	2.06894814065791e-13	12.6842503950319	Unchanged	ns	0.36	0.443697499232713	Gene expression	Stemness	0.24	NS	0.33	NS	0.418	NS	0.859	NS
AASS	STAD	-0.505673944887533	2.2513883556939e-06	5.64754958443645	Underexpression	****	4.5e-56	55.3467874862247	Gene expression	Stemness	0.021	Risky	0.00647	Risky	0.156	NS	0.00978	Risky
AASS	THCA	-0.254330368246266	3.75885292427825e-05	4.42494466695019	Underexpression	****	1.7e-117	116.769551078622	Gene expression	Stemness	0.0676	NS	0.593	NS	0.904	NS	0.445	NS
AASS	THYM	-0.744729283578479	0.002927092986679	2.53356348085964	Overexpression	****	7.8e-41	40.1079053973095	Gene expression	Stemness	0.25	NS	0.268	NS			0.555	NS
AASS	UCEC	-0.512516072697061	2.84517326475896e-06	5.54589128089019	Underexpression	****	4.6e-42	41.3372421683184	Gene expression	Stemness	0.567	NS	0.74	NS	0.0702	NS	0.0809	NS
AASS	UCS	-0.389582240253009	0.0328857079065593	1.48299280496473	Underexpression	****	4.1e-23	22.3872161432803	Gene expression	Stemness	0.635	NS	0.439	NS	0.873	NS	0.631	NS
ABAT	BLCA	-0.175860135575577	0.00481355744543736	2.31753384090759	Unchanged	ns	0.065	1.18708664335714	Gene expression	Stemness	0.0998	NS	0.145	NS	0.995	NS	0.133	NS
ABAT	BRCA	-0.377262172922483	4.06750316286678e-19	18.3906721006861	Overexpression	****	1.1e-21	20.9586073148418	Gene expression	Stemness	0.104	NS	0.000965	Protective	0.00176	Protective	0.00425	Protective
ABAT	BRCA	-0.122279669637516	0.000116258136130155	3.93457664400545	Overexpression	****	1.1e-21	20.9586073148418	Gene expression	MSI	0.104	NS	0.000965	Protective	0.00176	Protective	0.00425	Protective
ABAT	CESC	-0.224606230383773	9.46380933758888e-07	6.02393401779551	Underexpression	*	0.022	1.65757731917779	Gene expression	Stemness	0.559	NS	0.492	NS	0.527	NS	0.333	NS
ABAT	COAD	-0.298851543841724	0.00146124372639357	2.83527734039709	Unchanged	ns	0.91	0.0409586076789064	Gene expression	MSI	0.89	NS	0.819	NS	0.299	NS	0.876	NS
ABAT	COAD	-0.232828825505348	0.000392922117594029	3.40569352405486	Unchanged	ns	0.91	0.0409586076789064	Gene expression	Stemness	0.89	NS	0.819	NS	0.299	NS	0.876	NS
ABAT	COAD	-0.305747223229669	0.0301139349998333	1.52123249134694	Unchanged	ns	0.91	0.0409586076789064	Gene expression	TMB	0.89	NS	0.819	NS	0.299	NS	0.876	NS
ABAT	GBM	0.329236874370583	1.83078686708427e-08	7.73736221158955	Unchanged	ns	0.57	0.244125144327509	Gene expression	Stemness	0.564	NS	0.626	NS			0.0894	NS
ABAT	KICH	-0.618861148948158	3.13894353336227e-11	10.5032164967784	Underexpression	****	3.4e-13	12.4685210829577	Gene expression	Stemness	0.34	NS	0.321	NS	0.697	NS	0.27	NS
ABAT	KIRC	0.169481795696201	6.34915481254444e-16	15.1972840833188	Underexpression	****	2.6e-27	26.5850266520292	Gene expression	Stemness	5.36e-06	Protective	2.01e-08	Protective	0.922	NS	1.68e-06	Protective
ABAT	KIRP	0.195747983631857	0.00790724058056754	2.10197504743957	Underexpression	****	1e-04	4	Gene expression	TMB	0.000112	Protective	4.93e-08	Protective	0.154	NS	0.000205	Protective
ABAT	LAML	-0.23100922269973	1.07587141621022e-12	11.9682396306839	Overexpression	****	3e-34	33.5228787452803	Gene expression	Stemness	0.489	NS						
ABAT	LGG	0.39237487683029	7.32705517688294e-40	39.1350705379648	Overexpression	****	9.8e-131	130.008773924308	Gene expression	Stemness	2.13e-05	Protective	0.000129	Protective	0.317	NS	5.4e-05	Protective
ABAT	LIHC	-0.208155633175207	0.00140223539970346	2.85317907323767	Underexpression	****	9.3e-19	18.0315170514461	Gene expression	Stemness	0.0232	Protective	0.288	NS	0.156	NS	0.14	NS
ABAT	LUAD	-0.255634644178173	0.000544351343934614	3.2641207005243	Underexpression	****	3.1e-08	7.50863830616573	Gene expression	Stemness	2.44e-05	Protective	0.000298	Protective	0.312	NS	0.0306	Protective
ABAT	LUSC	-0.30214143071867	0.000268113386022577	3.57168150257582	Underexpression	****	1e-37	37	Gene expression	Stemness	0.685	NS	0.517	NS	0.941	NS	0.135	NS
ABAT	PAAD	-0.267601513022816	0.00959230061517429	2.01807721924766	Underexpression	****	1.1e-23	22.9586073148418	Gene expression	Stemness	0.0482	Protective	0.109	NS	0.105	NS	0.00554	Protective
ABAT	PCPG	0.338757871003098	2.86215805952075e-09	8.54330638648042	Overexpression	**	0.005	2.30102999566398	Gene expression	Stemness	0.589	NS	0.878	NS	0.542	NS	0.502	NS
ABAT	SKCM	-0.378039984541415	0.00140223539970346	2.85317907323767	Underexpression	****	1.6e-64	63.7958800173441	Gene expression	Stemness	0.0134	Protective	0.034	Protective			0.0325	Protective
ABAT	STAD	-0.226719010330444	0.00218974325709829	2.65960680231144	Unchanged	ns	0.77	0.113509274827518	Gene expression	MSI	0.826	NS	0.151	NS	0.208	NS	0.0647	NS
ABAT	STAD	-0.180299144583698	1.21060097764296e-05	4.91699897970087	Unchanged	ns	0.77	0.113509274827518	Gene expression	TMB	0.826	NS	0.151	NS	0.208	NS	0.0647	NS
ABAT	TGCT	-0.563016764484709	0.000768485541030923	3.11436429928923	Underexpression	****	1.6e-41	40.7958800173441	Gene expression	Stemness	0.267	NS	0.289	NS	0.59	NS	0.865	NS
ABAT	THCA	-0.212749171692001	8.1020910765386e-06	5.09140287917072	Overexpression	****	6.9e-05	4.16115090926274	Gene expression	Stemness	0.872	NS	0.359	NS	0.642	NS	0.534	NS
ABAT	THYM	-0.475199959165151	6.13337252317699e-05	4.21230065672994	Overexpression	****	2.9e-08	7.53760200210104	Gene expression	Stemness	0.803	NS	0.0476	Protective			0.12	NS
ABAT	UCEC	-0.2750818388727	0.0400196295288176	1.39772693604801	Underexpression	****	5.9e-20	19.2291479883579	Gene expression	Stemness	0.999	NS	0.836	NS	0.638	NS	0.832	NS
ABHD14A-ACY1	BLCA	0.162432113298128	0.0210752001708347	1.67622829178383	Unchanged	ns	0.9	0.0457574905606751	Gene expression	Stemness	0.645	NS	0.167	NS	0.378	NS	0.122	NS
ABHD14A-ACY1	BRCA	-0.112721877016254	4.33285117444018e-05	4.36322622793526	Underexpression	****	1.8e-28	27.7447274948967	Gene expression	Stemness	0.961	NS	0.306	NS	0.671	NS	0.532	NS
ABHD14A-ACY1	COAD	0.21062533311792	2.62757533569431e-08	7.58044482338448	Unchanged	ns	0.8	0.0969100130080564	Gene expression	Stemness	0.0206	Risky	0.253	NS	0.296	NS	0.772	NS
ABHD14A-ACY1	KICH	-0.4851856499205	5.62757775534292e-07	6.2496784957085	Underexpression	****	2.6e-08	7.58502665202918	Gene expression	Stemness	0.0549	NS	0.104	NS	0.383	NS	0.298	NS
ABHD14A-ACY1	LGG	0.265053235516048	0.00282280979554556	2.54931838417258	Overexpression	****	2.9e-06	5.53760200210104	Gene expression	Stemness	0.00176	Protective	0.00199	Protective	0.302	NS	0.0191	Protective
ABHD14A-ACY1	TGCT	-0.435686933871641	0.00397510092716342	2.40065184020155	Underexpression	****	3.5e-19	18.4559319556497	Gene expression	Stemness	0.955	NS	0.997	NS	0.787	NS	0.722	NS
ABHD14A-ACY1	THCA	-0.183554457625743	3.09791692171168e-08	7.50893023309908	Underexpression	****	2e-42	41.698970004336	Gene expression	Stemness	0.244	NS	0.0602	NS	0.175	NS	0.822	NS
ABHD14A-ACY1	THYM	-0.520150776081361	0.000321777788816249	3.4924439370159	Overexpression	****	2.8e-27	26.5528419686578	Gene expression	Stemness	0.875	NS	0.288	NS			0.0399	Protective
ABHD16A	ACC	0.348172079221511	0.0472854821816549	1.3252721779978	Underexpression	**	0.0065	2.18708664335714	Gene expression	Stemness	0.0996	NS	0.151	NS	0.0684	NS	0.0156	Risky
ABHD16A	ESCA	0.302103717677644	0.000568492243183085	3.2452754566856	Underexpression	****	1.2e-06	5.92081875395237	Gene expression	Stemness	0.923	NS	0.774	NS	0.173	NS	0.599	NS
ABHD16A	KICH	-0.722568187887171	4.6004845638555e-07	6.33719642216075	Underexpression	****	1.9e-09	8.72124639904717	Gene expression	Stemness	0.182	NS	0.135	NS	0.943	NS	0.372	NS
ABHD16A	KIRC	-0.197024859105965	2.05155659333523e-05	4.68791649827582	Unchanged	ns	0.24	0.619788758288394	Gene expression	Stemness	0.331	NS	0.6	NS	0.608	NS	0.752	NS
ABHD16A	KIRP	-0.31124843568226	2.66185352387535e-11	10.5748158465033	Unchanged	ns	0.081	1.09151498112135	Gene expression	Stemness	0.339	NS	0.165	NS	0.588	NS	0.117	NS
ABHD16A	LAML	-0.442910835613067	7.95225113996831e-06	5.09950991294422	Underexpression	****	6.9e-33	32.1611509092627	Gene expression	Stemness	0.00335	Risky						
ABHD16A	LGG	0.138936708154483	0.0478549946284175	1.32007272818264	Overexpression	****	3.6e-37	36.4436974992327	Gene expression	MSI	0.042	Risky	0.129	NS	0.475	NS	0.284	NS
ABHD16A	LIHC	0.23908698835109	4.2054791719534e-14	13.376184513569	Overexpression	****	5.4e-31	30.267606240177	Gene expression	Stemness	0.732	NS	0.761	NS	0.397	NS	0.343	NS
ABHD16A	PAAD	0.23355339826727	0.0339781587719803	1.46880015862866	Overexpression	****	1.3e-47	46.8860566476932	Gene expression	MSI	0.000566	Protective	0.000682	Protective	0.00154	Protective	9.9e-07	Protective
ABHD16A	SKCM	-0.234127008735757	0.00102359043967077	2.98987377907405	Overexpression	****	2.9e-62	61.537602002101	Gene expression	Stemness	0.512	NS	0.654	NS			0.889	NS
ABHD16A	STAD	0.395441745182755	4.16191701773141e-05	4.38070658320671	Overexpression	****	7.2e-11	10.1426675035687	Gene expression	Stemness	0.528	NS	0.953	NS	0.374	NS	0.469	NS
ABHD16A	THCA	-0.29455475472291	3.85411208410216e-16	15.4140756594784	Underexpression	****	3.5e-22	21.4559319556497	Gene expression	Stemness	0.496	NS	0.865	NS	0.626	NS	0.332	NS
ABHD16A	THCA	-0.193833968861218	0.000445793551807156	3.35086621767459	Underexpression	****	3.5e-22	21.4559319556497	Gene expression	TMB	0.496	NS	0.865	NS	0.626	NS	0.332	NS
ABHD16A	THYM	-0.363049871202461	6.15623123688186e-08	7.21068507581006	Overexpression	****	1.8e-08	7.74472749489669	Gene expression	Stemness	0.133	NS	0.0462	Protective			0.305	NS
ACAA1	BRCA	-0.213512980798301	0.0482414067570055	1.3165800363178	Unchanged	ns	0.4	0.397940008672038	Gene expression	MSI	0.0511	NS	0.0341	Protective	0.0427	Protective	0.0164	Protective
ACAA1	BRCA	-0.272576731030686	6.48688116430263e-19	18.1879640580063	Unchanged	ns	0.4	0.397940008672038	Gene expression	Stemness	0.0511	NS	0.0341	Protective	0.0427	Protective	0.0164	Protective
ACAA1	COAD	-0.193810439628973	9.50144233070235e-21	20.0222104632671	Underexpression	***	0.00045	3.34678748622466	Gene expression	Stemness	0.736	NS	0.931	NS	0.00763	Risky	0.447	NS
ACAA1	ESCA	0.235623560904244	3.96515585372886e-20	19.4017397377072	Underexpression	****	1.4e-30	29.8538719643218	Gene expression	Stemness	0.619	NS	0.869	NS	0.202	NS	0.992	NS
ACAA1	KICH	-0.504565077810329	0.00014710691608901	3.83236690885856	Underexpression	****	1.7e-12	11.7695510786217	Gene expression	Stemness	0.00545	Risky	0.015	Risky	0.46	NS	0.00801	Risky
ACAA1	KIRP	0.201307016538909	1.89784170944564e-10	9.72174001297356	Underexpression	****	3.4e-05	4.46852108295774	Gene expression	TMB	1.23e-08	Protective	2.35e-12	Protective	0.0226	Protective	7.17e-08	Protective
ACAA1	LAML	-0.411888628450165	2.21492380861574e-14	13.654641208523	Unchanged	ns	0.72	0.142667503568732	Gene expression	Stemness	0.0458	Risky						
ACAA1	LGG	-0.370723529138095	0.0122330467760132	1.91246536363274	Overexpression	****	3e-93	92.5228787452803	Gene expression	Stemness	0.036	Risky	0.0391	Risky	0.0141	Risky	0.000821	Risky
ACAA1	LUAD	-0.194785788650122	1.96554966732952e-10	9.70651597755002	Underexpression	****	1.3e-57	56.8860566476932	Gene expression	MSI	0.795	NS	0.279	NS	0.866	NS	0.626	NS
ACAA1	LUAD	-0.375613699181833	0.0255737517345571	1.5922055551925	Underexpression	****	1.3e-57	56.8860566476932	Gene expression	Stemness	0.795	NS	0.279	NS	0.866	NS	0.626	NS
ACAA1	LUAD	-0.299496004597373	0.0220179793057294	1.6572225407975	Underexpression	****	1.3e-57	56.8860566476932	Gene expression	TMB	0.795	NS	0.279	NS	0.866	NS	0.626	NS
ACAA1	LUSC	-0.403664576536487	1.24561754065139e-05	4.90461528470899	Underexpression	****	5e-116	115.301029995664	Gene expression	Stemness	0.127	NS	0.00276	Risky	0.47	NS	0.00204	Risky
