KEGG_ID	Metabolism	Pathways	Genes	Genes_name	Isoforms
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ACER1	alkaline	alkaline ceramidase 1
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ACER2	alkaline	alkaline ceramidase 2
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ACER3	alkaline	alkaline ceramidase 3
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ACHE	acetylcholinesterase	acetylcholinesterase (Yt blood group)
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	ACLY	ATP	ATP citrate lyase
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	ACMSD	aminocarboxymuconate	aminocarboxymuconate semialdehyde decarboxylase
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	ACO1	aconitase	aconitase 1
hsa00020	Carbohydrate metabolism	Citrate cycle (TCA cycle) - Homo sapiens (human)	ACO2	aconitase	aconitase 2
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ACOT1	acyl-CoA	acyl-CoA thioesterase 1
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACOT12	acyl-CoA	acyl-CoA thioesterase 12
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ACOT2	acyl-CoA	acyl-CoA thioesterase 2
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ACOT4	acyl-CoA	acyl-CoA thioesterase 4
hsa00062	Lipid metabolism	Fatty acid elongation - Homo sapiens (human)	ACOT7	acyl-CoA	acyl-CoA thioesterase 7
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	ACOT8	acyl-CoA	acyl-CoA thioesterase 8
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ACOX1	acyl-CoA	acyl-CoA oxidase 1
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	ACOX2	acyl-CoA	acyl-CoA oxidase 2
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ACOX3	acyl-CoA	acyl-CoA oxidase 3, pristanoyl
hsa00730	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human)	ACP1	acid	acid phosphatase 1
hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	ACP2	acid	acid phosphatase 2, lysosomal
hsa00740	Metabolism of cofactors and vitamins	Riboflavin metabolism - Homo sapiens (human)	ACP5	acid	acid phosphatase 5, tartrate resistant
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSBG1	acyl-CoA	acyl-CoA synthetase bubblegum family member 1
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSBG2	acyl-CoA	acyl-CoA synthetase bubblegum family member 2
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSF3	acyl-CoA	acyl-CoA synthetase family member 3
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSL1	acyl-CoA	acyl-CoA synthetase long chain family member 1
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSL3	acyl-CoA	acyl-CoA synthetase long chain family member 3
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSL4	acyl-CoA	acyl-CoA synthetase long chain family member 4
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSL5	acyl-CoA	acyl-CoA synthetase long chain family member 5
hsa00061	Lipid metabolism	Fatty acid biosynthesis - Homo sapiens (human)	ACSL6	acyl-CoA	acyl-CoA synthetase long chain family member 6
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM1	acyl-CoA	acyl-CoA synthetase medium chain family member 1
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM2A	acyl-CoA	acyl-CoA synthetase medium chain family member 2A
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM2B	acyl-CoA	acyl-CoA synthetase medium chain family member 2B
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM3	acyl-CoA	acyl-CoA synthetase medium chain family member 3
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM4	acyl-CoA	acyl-CoA synthetase medium chain family member 4
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM5	acyl-CoA	acyl-CoA synthetase medium chain family member 5
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ACSM6	acyl-CoA	acyl-CoA synthetase medium chain family member 6
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS1	acyl-CoA	acyl-CoA synthetase short chain family member 1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ACSS2	acyl-CoA	acyl-CoA synthetase short chain family member 2
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ACSS3	acyl-CoA	acyl-CoA synthetase short chain family member 3
hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	ACY1	aminoacylase	aminoacylase 1
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACYP1	acylphosphatase	acylphosphatase 1
hsa00620	Carbohydrate metabolism	Pyruvate metabolism - Homo sapiens (human)	ACYP2	acylphosphatase	acylphosphatase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADA	adenosine	adenosine deaminase
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY1	adenylate	adenylate cyclase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY10	adenylate	adenylate cyclase 10
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY2	adenylate	adenylate cyclase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY3	adenylate	adenylate cyclase 3
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY4	adenylate	adenylate cyclase 4
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY5	adenylate	adenylate cyclase 5
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY6	adenylate	adenylate cyclase 6
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY7	adenylate	adenylate cyclase 7
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY8	adenylate	adenylate cyclase 8
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADCY9	adenylate	adenylate cyclase 9
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH1A	alcohol	alcohol dehydrogenase 1A (class I), alpha polypeptide
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH1B	alcohol	alcohol dehydrogenase 1B (class I), beta polypeptide
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH1C	alcohol	alcohol dehydrogenase 1C (class I), gamma polypeptide
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH4	alcohol	alcohol dehydrogenase 4 (class II), pi polypeptide
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH5	alcohol	alcohol dehydrogenase 5 (class III), chi polypeptide
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH6	alcohol	alcohol dehydrogenase 6 (class V)
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADH7	alcohol	alcohol dehydrogenase 7 (class IV), mu or sigma polypeptide
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	ADI1	acireductone	acireductone dioxygenase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADK	adenosine	adenosine kinase
hsa00430	Metabolism of other amino acids	Taurine and hypotaurine metabolism - Homo sapiens (human)	ADO	2-aminoethanethiol	2-aminoethanethiol dioxygenase
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ADPGK	ADP	ADP dependent glucokinase
hsa00564	Lipid metabolism	Glycerophospholipid metabolism - Homo sapiens (human)	ADPRM	ADP-ribose/CDP-alcohol	ADP-ribose/CDP-alcohol diphosphatase, manganese dependent
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADSL	adenylosuccinate	adenylosuccinate lyase
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADSS	adenylosuccinate	adenylosuccinate synthase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ADSSL1	adenylosuccinate	adenylosuccinate synthase 1
hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	AFMID	arylformamidase	arylformamidase
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGK	acylglycerol	acylglycerol kinase
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	AGL	amylo-alpha-1,	amylo-alpha-1, 6-glucosidase, 4-alpha-glucanotransferase
hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	AGMAT	agmatinase	agmatinase (putative)
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT1	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 1
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT2	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 2
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT3	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 3
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT4	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 4
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT5	1-acylglycerol-3-phosphate	1-acylglycerol-3-phosphate O-acyltransferase 5
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT6	glycerol-3-phosphate	glycerol-3-phosphate acyltransferase 4
hsa00561	Lipid metabolism	Glycerolipid metabolism - Homo sapiens (human)	AGPAT9	glycerol-3-phosphate	glycerol-3-phosphate acyltransferase 3
hsa00565	Lipid metabolism	Ether lipid metabolism - Homo sapiens (human)	AGPS	alkylglycerone	alkylglycerone phosphate synthase
hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	AGXT	alanine--glyoxylate	alanine--glyoxylate aminotransferase
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	AGXT2	alanine--glyoxylate	alanine--glyoxylate aminotransferase 2
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	AHCY	adenosylhomocysteinase	adenosylhomocysteinase
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	AHCYL1	adenosylhomocysteinase	adenosylhomocysteinase like 1
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	AHCYL2	adenosylhomocysteinase	adenosylhomocysteinase like 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK1	adenylate	adenylate kinase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK2	adenylate	adenylate kinase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK3	adenylate	adenylate kinase 3
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK4	adenylate	adenylate kinase 4
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK5	adenylate	adenylate kinase 5
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK6	adenylate	adenylate kinase 6
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK7	adenylate	adenylate kinase 7
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK8	adenylate	adenylate kinase 8
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AK9	adenylate	adenylate kinase 9
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	AKR1A1	aldo-keto	aldo-keto reductase family 1 member A1
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	AKR1B1	aldo-keto	aldo-keto reductase family 1 member B
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	AKR1B10	aldo-keto	aldo-keto reductase family 1 member B10
hsa00040	Carbohydrate metabolism	Pentose and glucuronate interconversions - Homo sapiens (human)	AKR1B15	aldo-keto	aldo-keto reductase family 1 member B15
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	AKR1C1	aldo-keto	aldo-keto reductase family 1 member C1
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	AKR1C2	aldo-keto	aldo-keto reductase family 1 member C2
hsa00140	Lipid metabolism	Steroid hormone biosynthesis - Homo sapiens (human)	AKR1C3	aldo-keto	aldo-keto reductase family 1 member C3
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	AKR1C4	aldo-keto	aldo-keto reductase family 1 member C4
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	AKR1D1	aldo-keto	aldo-keto reductase family 1 member D1
hsa00860	Metabolism of cofactors and vitamins	Porphyrin metabolism - Homo sapiens (human)	ALAD	aminolevulinate	aminolevulinate dehydratase
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	ALAS1	5'-aminolevulinate	5'-aminolevulinate synthase 1
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	ALAS2	5'-aminolevulinate	5'-aminolevulinate synthase 2
hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	ALDH18A1	aldehyde	aldehyde dehydrogenase 18 family member A1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	ALDH1A1	aldehyde	aldehyde dehydrogenase 1 family member A1
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	ALDH1A2	aldehyde	aldehyde dehydrogenase 1 family member A2
hsa00830	Metabolism of cofactors and vitamins	Retinol metabolism - Homo sapiens (human)	ALDH1A3	aldehyde	aldehyde dehydrogenase 1 family member A3
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH1B1	aldehyde	aldehyde dehydrogenase 1 family member B1
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	ALDH1L1	aldehyde	aldehyde dehydrogenase 1 family member L1
hsa00670	Metabolism of cofactors and vitamins	One carbon pool by folate - Homo sapiens (human)	ALDH1L2	aldehyde	aldehyde dehydrogenase 1 family member L2
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH2	aldehyde	aldehyde dehydrogenase 2 family member
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A1	aldehyde	aldehyde dehydrogenase 3 family member A1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3A2	aldehyde	aldehyde dehydrogenase 3 family member A2
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B1	aldehyde	aldehyde dehydrogenase 3 family member B1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH3B2	aldehyde	aldehyde dehydrogenase 3 family member B2
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ALDH4A1	aldehyde	aldehyde dehydrogenase 4 family member A1
hsa00650	Carbohydrate metabolism	Butanoate metabolism - Homo sapiens (human)	ALDH5A1	aldehyde	aldehyde dehydrogenase 5 family member A1
hsa00640	Carbohydrate metabolism	Propanoate metabolism - Homo sapiens (human)	ALDH6A1	aldehyde	aldehyde dehydrogenase 6 family member A1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH7A1	aldehyde	aldehyde dehydrogenase 7 family member A1
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	ALDH8A1	aldehyde	aldehyde dehydrogenase 8 family member A1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDH9A1	aldehyde	aldehyde dehydrogenase 9 family member A1
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOA	aldolase,	aldolase, fructose-bisphosphate A
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOB	aldolase,	aldolase, fructose-bisphosphate B
hsa00010	Carbohydrate metabolism	Glycolysis / Gluconeogenesis - Homo sapiens (human)	ALDOC	aldolase,	aldolase, fructose-bisphosphate C
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ALLC	allantoicase	allantoicase
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	ALOX12	arachidonate	arachidonate 12-lipoxygenase, 12S type
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	ALOX12B	arachidonate	arachidonate 12-lipoxygenase, 12R type
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	ALOX15	arachidonate	arachidonate 15-lipoxygenase
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	ALOX15B	arachidonate	arachidonate 15-lipoxygenase type B
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	ALOX5	arachidonate	arachidonate 5-lipoxygenase
hsa00590	Lipid metabolism	Arachidonic acid metabolism - Homo sapiens (human)	ALOXE3	arachidonate	arachidonate lipoxygenase 3
hsa00730	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human)	ALPI	alkaline	alkaline phosphatase, intestinal
hsa00730	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human)	ALPL	alkaline	alkaline phosphatase, biomineralization associated
hsa00730	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human)	ALPP	alkaline	alkaline phosphatase, placental
hsa00730	Metabolism of cofactors and vitamins	Thiamine metabolism - Homo sapiens (human)	ALPPL2	alkaline	alkaline phosphatase, germ cell
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ALX4	NADH	NADH dehydrogenase subunit 2
hsa00120	Lipid metabolism	Primary bile acid biosynthesis - Homo sapiens (human)	AMACR	alpha-methylacyl-CoA	alpha-methylacyl-CoA racemase
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	AMD1	adenosylmethionine	adenosylmethionine decarboxylase 1
hsa00340	Amino acid metabolism	Histidine metabolism - Homo sapiens (human)	AMDHD1	amidohydrolase	amidohydrolase domain containing 1
hsa00520	Carbohydrate metabolism	Amino sugar and nucleotide sugar metabolism - Homo sapiens (human)	AMDHD2	amidohydrolase	amidohydrolase domain containing 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AMPD1	adenosine	adenosine monophosphate deaminase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AMPD2	adenosine	adenosine monophosphate deaminase 2
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	AMPD3	adenosine	adenosine monophosphate deaminase 3
hsa00630	Carbohydrate metabolism	Glyoxylate and dicarboxylate metabolism - Homo sapiens (human)	AMT	aminomethyltransferase	aminomethyltransferase
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	AMY1A	amylase	amylase alpha 1A
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	AMY1B	amylase	amylase alpha 1B
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	AMY1C	amylase	amylase alpha 1C
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	AMY2A	amylase	amylase alpha 2A
hsa00500	Carbohydrate metabolism	Starch and sucrose metabolism - Homo sapiens (human)	AMY2B	amylase	amylase alpha 2B
hsa00480	Metabolism of other amino acids	Glutathione metabolism - Homo sapiens (human)	ANPEP	alanyl	alanyl aminopeptidase, membrane
hsa00330	Amino acid metabolism	Arginine and proline metabolism - Homo sapiens (human)	AOC1	amine	amine oxidase copper containing 1
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	AOC2	amine	amine oxidase copper containing 2
hsa00260	Amino acid metabolism	Glycine, serine and threonine metabolism - Homo sapiens (human)	AOC3	amine	amine oxidase copper containing 3
hsa00280	Amino acid metabolism	Valine, leucine and isoleucine degradation - Homo sapiens (human)	AOX1	aldehyde	aldehyde oxidase 1
hsa00270	Amino acid metabolism	Cysteine and methionine metabolism - Homo sapiens (human)	APIP	APAF1	APAF1 interacting protein
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	APRT	adenine	adenine phosphoribosyltransferase
hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	ARG1	arginase	arginase 1
hsa00220	Amino acid metabolism	Arginine biosynthesis - Homo sapiens (human)	ARG2	arginase	arginase 2
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ARSA	arylsulfatase	arylsulfatase A
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ASAH1	N-acylsphingosine	N-acylsphingosine amidohydrolase 1
hsa00600	Lipid metabolism	Sphingolipid metabolism - Homo sapiens (human)	ASAH2	N-acylsphingosine	N-acylsphingosine amidohydrolase 2
hsa00310	Amino acid metabolism	Lysine degradation - Homo sapiens (human)	ASH1L	ASH1	ASH1 like histone lysine methyltransferase
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ASL	argininosuccinate	argininosuccinate lyase
hsa00380	Amino acid metabolism	Tryptophan metabolism - Homo sapiens (human)	ASMT	acetylserotonin	acetylserotonin O-methyltransferase
hsa00240	Nucleotide metabolism	Pyrimidine metabolism - Homo sapiens (human)	ASMTL	acetylserotonin	acetylserotonin O-methyltransferase like
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ASNS	asparagine	asparagine synthetase (glutamine-hydrolyzing)
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ASPA	aspartoacylase	aspartoacylase
hsa00760	Metabolism of cofactors and vitamins	Nicotinate and nicotinamide metabolism - Homo sapiens (human)	ASPDH	aspartate	aspartate dehydrogenase domain containing
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ASRGL1	asparaginase	asparaginase and isoaspartyl peptidase 1
hsa00250	Amino acid metabolism	Alanine, aspartate and glutamate metabolism - Homo sapiens (human)	ASS1	argininosuccinate	argininosuccinate synthase 1
hsa00230	Nucleotide metabolism	Purine metabolism - Homo sapiens (human)	ATIC	5-aminoimidazole-4-carboxamide	5-aminoimidazole-4-carboxamide ribonucleotide formyltransferase/IMP cyclohydrolase
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP12A	ATPase	ATPase H+/K+ transporting non-gastric alpha2 subunit
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP4A	ATPase	ATPase H+/K+ transporting subunit alpha
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP4B	ATPase	ATPase H+/K+ transporting subunit beta
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP5A1	ATP	ATP synthase F1 subunit alpha
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP5B	ATP	ATP synthase F1 subunit beta
hsa00190	Energy metabolism	Oxidative phosphorylation - Homo sapiens (human)	ATP5C1	ATP	ATP synthase F1 subunit gamma
