genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var	p.value_Cox_OS	Type_Cox_OS	p.value_Cox_DSS	Type_Cox_DSS	p.value_Cox_DFI	Type_Cox_DFI	p.value_Cox_PFI	Type_Cox_PFI
AADAT	BLCA	-0.234784316626903	5.77066032450442e-10	9.23877448859811	Unchanged	ns	0.49	0.309803919971486	Methylation	MSI	0.584	NS	0.049	Protective	0.796	NS	0.0934	NS
AADAT	DLBC	0.574683540709582	0.0287533952703813	1.54131086540466	Overexpression	****	2.1e-18	17.6777807052661	Methylation	Stemness	0.99	NS	0.616	NS	0.865	NS	0.967	NS
AADAT	ESCA	0.458964468726385	7.06674804434199e-09	8.15078039261093	Unchanged	ns	0.054	1.26760624017703	Methylation	TMB	0.666	NS	0.225	NS	0.283	NS	0.477	NS
AADAT	ESCA	0.463047176901364	0.00110241419742085	2.95765520234698	Unchanged	ns	0.054	1.26760624017703	Methylation	MSI	0.666	NS	0.225	NS	0.283	NS	0.477	NS
AADAT	LGG	-0.233532884033878	0.000742359324465362	3.12938583210734	Overexpression	****	2.3e-88	87.6382721639824	Methylation	Stemness	0.36	NS	0.132	NS	0.63	NS	0.285	NS
AADAT	LIHC	-0.170611048916313	2.22443986416334e-06	5.65277933053857	Underexpression	****	9.9e-44	43.0043648054025	Methylation	Stemness	0.0222	Protective	0.0732	NS	0.17	NS	0.296	NS
AADAT	LUAD	-0.19081149267691	0.00110405969827515	2.95700744297411	Underexpression	****	2.9e-24	23.537602002101	Methylation	MSI	0.17	NS	0.0191	Protective	0.532	NS	0.304	NS
AADAT	LUSC	-0.194066252162076	0.0062273576196113	2.20569619325336	Underexpression	****	1.2e-33	32.9208187539524	Methylation	Stemness	0.215	NS	0.291	NS	0.759	NS	0.517	NS
AADAT	LUSC	-0.235410562486505	0.0121398857151156	1.91578540168978	Underexpression	****	1.2e-33	32.9208187539524	Methylation	MSI	0.215	NS	0.291	NS	0.759	NS	0.517	NS
AADAT	PRAD	-0.142177410342208	5.71812951170535e-10	9.24274601239496	Unchanged	ns	0.077	1.11350927482752	Methylation	Stemness	0.987	NS	0.828	NS	0.72	NS	0.369	NS
AADAT	SKCM	-0.32069057979339	2.59810390498532e-05	4.58534348434097	Unchanged	ns	0.19	0.721246399047171	Methylation	MSI	0.25	NS	0.279	NS			0.65	NS
AADAT	STAD	0.310729587347237	7.35994467643293e-05	4.13312545017476	Unchanged	ns	0.87	0.0604807473813815	Methylation	MSI	0.0924	NS	0.121	NS	0.649	NS	0.531	NS
AADAT	STAD	0.312116239046125	2.82996441096119e-08	7.54821902603767	Unchanged	ns	0.87	0.0604807473813815	Methylation	TMB	0.0924	NS	0.121	NS	0.649	NS	0.531	NS
AADAT	STAD	0.194683971250521	0.014831336733181	1.82881970469097	Unchanged	ns	0.87	0.0604807473813815	Methylation	Stemness	0.0924	NS	0.121	NS	0.649	NS	0.531	NS
AADAT	TGCT	0.509570517080779	0.00528468223043685	2.27698112183184	Underexpression	****	1.4e-34	33.8538719643218	Methylation	Stemness	0.84	NS	0.878	NS	0.764	NS	0.4	NS
AADAT	THYM	0.345406364355885	0.00396075243078437	2.40222230258546	Overexpression	****	3.3e-64	63.4814860601221	Methylation	TMB	0.0558	NS	0.0335	Risky			0.0013	Risky
AANAT	BLCA	-0.177730253250944	3.56963849255887e-06	5.44737576389804	Unchanged	ns	0.18	0.744727494896694	Methylation	MSI	0.48	NS	0.096	NS	0.454	NS	0.203	NS
AANAT	BLCA	-0.252385026366803	4.76435311276765e-06	5.3219960580114	Unchanged	ns	0.18	0.744727494896694	Methylation	Stemness	0.48	NS	0.096	NS	0.454	NS	0.203	NS
AANAT	BRCA	-0.276328995512397	7.03634418695595e-15	14.1526529249224	Underexpression	****	1.2e-05	4.92081875395237	Methylation	Stemness	0.0908	NS	0.0447	Protective	0.0143	Protective	0.0144	Protective
AANAT	CESC	-0.191262636622736	0.0132001891106023	1.87941984689243	Unchanged	ns	0.39	0.408935392973501	Methylation	Stemness	0.603	NS	0.808	NS	0.34	NS	0.754	NS
AANAT	CESC	-0.214923651015741	0.000105095279549399	3.97841679026755	Unchanged	ns	0.39	0.408935392973501	Methylation	MSI	0.603	NS	0.808	NS	0.34	NS	0.754	NS
AANAT	COAD	-0.296590149451977	6.84675959370592e-06	5.16451492099494	Underexpression	****	5.3e-07	6.27572413039921	Methylation	Stemness	0.114	NS	0.0903	NS	0.479	NS	0.306	NS
AANAT	COAD	0.215610979127073	0.0128744951077577	1.89026979344904	Underexpression	****	5.3e-07	6.27572413039921	Methylation	TMB	0.114	NS	0.0903	NS	0.479	NS	0.306	NS
AANAT	ESCA	-0.295218263524793	7.48396823219732e-06	5.12586806465288	Overexpression	****	5.1e-17	16.2924298239021	Methylation	Stemness	0.674	NS	0.497	NS	0.0566	NS	0.598	NS
AANAT	GBM	-0.408345104885002	3.65605358727189e-05	4.4369874473786	Unchanged	ns	0.058	1.23657200643706	Methylation	Stemness	0.653	NS	0.781	NS			0.28	NS
AANAT	HNSC	-0.138107541876791	0.000227044515772393	3.64388898395704	Overexpression	***	0.00031	3.50863830616573	Methylation	MSI	0.0874	NS	0.288	NS	0.254	NS	0.156	NS
AANAT	HNSC	-0.229122584464889	0.000820590951979259	3.08587327597152	Overexpression	***	0.00031	3.50863830616573	Methylation	Stemness	0.0874	NS	0.288	NS	0.254	NS	0.156	NS
AANAT	KIRC	0.226929024985797	8.66347858999788e-05	4.06230769353658	Overexpression	****	3.5e-06	5.45593195564972	Methylation	Stemness	0.125	NS	0.0974	NS	0.13	NS	0.0992	NS
AANAT	LGG	0.21236145145086	0.0132001891106023	1.87941984689243	Unchanged	ns	0.7	0.154901959985743	Methylation	Stemness	3.99e-19	Protective	3.56e-19	Protective	0.0489	Protective	1.05e-19	Protective
AANAT	LIHC	-0.385453899424167	2.67228100047175e-06	5.57311787608506	Overexpression	*	0.023	1.63827216398241	Methylation	Stemness	0.727	NS	0.23	NS	0.0725	NS	0.318	NS
AANAT	LIHC	-0.195583971410076	0.0146510483796333	1.83413129754883	Overexpression	*	0.023	1.63827216398241	Methylation	TMB	0.727	NS	0.23	NS	0.0725	NS	0.318	NS
AANAT	LUAD	-0.189930904500324	0.000670011322784261	3.17391785792429	Underexpression	****	1.6e-25	24.7958800173441	Methylation	Stemness	0.325	NS	0.74	NS	0.583	NS	0.606	NS
AANAT	LUAD	-0.246279195834946	3.05057719964065e-14	13.5156179800295	Underexpression	****	1.6e-25	24.7958800173441	Methylation	MSI	0.325	NS	0.74	NS	0.583	NS	0.606	NS
AANAT	LUSC	-0.223665951438735	0.00149369519274575	2.82573801672019	Underexpression	****	1.7e-17	16.7695510786217	Methylation	Stemness	0.967	NS	0.606	NS	0.684	NS	0.82	NS
AANAT	PAAD	-0.564436736169218	0.00868955538022857	2.06100244459314	Unchanged	ns	0.056	1.2518119729938	Methylation	MSI	0.123	NS	0.112	NS	0.269	NS	0.0627	NS
AANAT	PAAD	-0.306979189741984	2.7019197007638e-05	4.5683275620621	Unchanged	ns	0.056	1.2518119729938	Methylation	Stemness	0.123	NS	0.112	NS	0.269	NS	0.0627	NS
AANAT	PCPG	-0.335477371088391	0.00287836745865117	2.54085376388183	Unchanged	ns	0.31	0.508638306165727	Methylation	MSI	0.246	NS	0.0607	NS	0.657	NS	0.00597	Risky
AANAT	PCPG	-0.369936769901862	1.97237517789826e-14	13.7050104716497	Unchanged	ns	0.31	0.508638306165727	Methylation	Stemness	0.246	NS	0.0607	NS	0.657	NS	0.00597	Risky
AANAT	SKCM	-0.220365966330718	0.000721038577748833	3.14204149858815	Underexpression	****	9.4e-07	6.0268721464003	Methylation	Stemness	0.0749	NS	0.212	NS			0.561	NS
AANAT	STAD	-0.242799918360077	0.00034670149879441	3.4600442808797	Unchanged	ns	0.081	1.09151498112135	Methylation	Stemness	0.388	NS	0.647	NS	0.903	NS	0.472	NS
AANAT	STAD	-0.282020492275207	0.0294749961275408	1.53054624329098	Unchanged	ns	0.081	1.09151498112135	Methylation	MSI	0.388	NS	0.647	NS	0.903	NS	0.472	NS
AANAT	THYM	0.349183872117938	0.00164475976153521	2.78389752741547	Unchanged	ns	0.12	0.920818753952375	Methylation	Stemness	0.000987	Protective	0.00779	Protective			0.115	NS
AANAT	THYM	-0.317582514036441	0.0147325381393059	1.83172242593832	Unchanged	ns	0.12	0.920818753952375	Methylation	TMB	0.000987	Protective	0.00779	Protective			0.115	NS
AANAT	UCS	0.421299082286118	0.0329991596074417	1.48149712019781	Unchanged	ns	0.97	0.0132282657337552	Methylation	TMB	0.516	NS	0.242	NS	0.943	NS	0.623	NS
AASDHPPT	ACC	0.390947556357267	0.0158335956504149	1.80042045002633	Unchanged	ns	0.14	0.853871964321762	Methylation	TMB	0.0132	Risky	0.0116	Risky	0.97	NS	0.00246	Risky
AASDHPPT	HNSC	0.219868586706366	9.46833149489948e-06	5.02372654543186	Overexpression	*	0.015	1.82390874094432	Methylation	Stemness	0.231	NS	0.196	NS	0.293	NS	0.19	NS
AASDHPPT	LGG	0.201150359763668	0.000118321056559506	3.92693796091858	Overexpression	****	8.1e-72	71.0915149811213	Methylation	Stemness	7.98e-08	Protective	1.72e-07	Protective	0.882	NS	4.32e-07	Protective
AASDHPPT	LIHC	0.213676890227844	0.000405851201191564	3.39163316432027	Overexpression	****	8.5e-11	10.0705810742857	Methylation	Stemness	0.00643	Protective	0.142	NS	0.213	NS	0.184	NS
AASDHPPT	PCPG	-0.253495864340862	0.0154956199890976	1.80979104269303	Unchanged	ns	0.093	1.03151705144606	Methylation	Stemness	0.00114	Risky	0.00062	Risky	0.237	NS	0.0111	Risky
AASS	BLCA	-0.199535370987684	0.00110561557716871	2.95639585109257	Underexpression	****	1.7e-10	9.76955107862173	Methylation	Stemness	0.823	NS	0.438	NS	0.1	NS	0.882	NS
AASS	COAD	0.354983783424664	0.0018724005669786	2.72760123603656	Underexpression	****	2.1e-71	70.6777807052661	Methylation	MSI	0.92	NS	0.474	NS	0.775	NS	0.967	NS
AASS	COAD	0.23287214145392	5.14446098835335e-09	8.28866012178528	Underexpression	****	2.1e-71	70.6777807052661	Methylation	TMB	0.92	NS	0.474	NS	0.775	NS	0.967	NS
AASS	DLBC	0.648576956962722	0.00377039960324666	2.42361261894856	Overexpression	****	3.2e-07	6.49485002168009	Methylation	Stemness	0.0786	NS	0.206	NS	0.492	NS	0.643	NS
AASS	GBM	-0.555358308497508	0.00467251092122053	2.33044967485651	Overexpression	****	2e-36	35.698970004336	Methylation	TMB	0.397	NS	0.537	NS			0.207	NS
AASS	KICH	-0.693204374820894	1.9274907329674e-06	5.71500770128261	Underexpression	****	2.5e-15	14.602059991328	Methylation	TMB	0.0249	Protective	0.0343	Protective	0.294	NS	0.161	NS
AASS	KIRP	-0.195539159470246	7.43793406571432e-09	8.12854767580541	Underexpression	****	2.1e-07	6.67778070526608	Methylation	Stemness	0.919	NS	0.465	NS	0.00771	Protective	0.0458	Protective
AASS	LAML	0.293760800355149	3.48963338854662e-09	8.45722019644895	Overexpression	****	4.1e-14	13.3872161432803	Methylation	Stemness	0.0262	Protective						
AASS	LIHC	-0.288174379551447	2.46762843131017e-05	4.60772023458222	Underexpression	****	2.6e-25	24.5850266520292	Methylation	Stemness	0.193	NS	0.522	NS	0.906	NS	0.661	NS
AASS	PAAD	-0.336658553844835	2.49241895694922e-06	5.60337895422873	Underexpression	****	5.6e-39	38.2518119729938	Methylation	MSI	0.364	NS	0.399	NS	0.19	NS	0.12	NS
AASS	PCPG	-0.290212469691484	0.000167773323216167	3.77527709297721	Underexpression	*	0.035	1.45593195564972	Methylation	MSI	0.0216	Risky	0.00306	Risky	0.513	NS	0.0272	Risky
AASS	STAD	0.277440497941152	0.000105199482586789	3.97798639621132	Underexpression	****	4.5e-56	55.3467874862247	Methylation	TMB	0.0356	Protective	0.099	NS	0.561	NS	0.23	NS
AASS	TGCT	-0.484001473385305	0.0202994788986168	1.69251511057743	Underexpression	**	0.0059	2.22914798835786	Methylation	Stemness	0.741	NS	0.756	NS	0.301	NS	0.195	NS
AASS	THYM	0.54469104345108	9.02464821961788e-08	7.04456971787176	Overexpression	****	7.8e-41	40.1079053973095	Methylation	Stemness	0.645	NS	0.853	NS			0.47	NS
AASS	UCEC	-0.238809371783772	0.0196032052720932	1.70767291241021	Underexpression	****	4.6e-42	41.3372421683184	Methylation	Stemness	0.582	NS	0.746	NS	0.362	NS	0.0329	Protective
ABAT	CESC	-0.253718006018721	0.000132956730351683	3.87628967352147	Underexpression	*	0.022	1.65757731917779	Methylation	MSI	0.978	NS	0.966	NS	0.385	NS	0.63	NS
ABAT	CESC	-0.311670992661586	0.00155382739104998	2.80859722702678	Underexpression	*	0.022	1.65757731917779	Methylation	TMB	0.978	NS	0.966	NS	0.385	NS	0.63	NS
ABAT	COAD	-0.248194621100336	8.97664516678015e-53	52.0468859414819	Unchanged	ns	0.91	0.0409586076789064	Methylation	Stemness	0.995	NS	0.667	NS	0.577	NS	0.752	NS
ABAT	GBM	-0.700335364591082	0.00299506639151367	2.52359354618003	Unchanged	ns	0.57	0.244125144327509	Methylation	Stemness	0.139	NS	0.151	NS			0.0638	NS
ABAT	HNSC	-0.143452292104215	7.05038962683382e-05	4.1517868818585	Underexpression	**	0.0016	2.79588001734407	Methylation	MSI	0.136	NS	0.314	NS	0.698	NS	0.432	NS
ABAT	KIRP	0.213826577226295	0.0134618664162222	1.87089472331615	Underexpression	****	1e-04	4	Methylation	TMB	0.764	NS	0.946	NS	0.652	NS	0.85	NS
ABAT	LGG	-0.397152042975458	0.00047691527347765	3.32155876882039	Overexpression	****	9.8e-131	130.008773924308	Methylation	Stemness	0.682	NS	0.651	NS	0.963	NS	0.743	NS
ABAT	LGG	-0.164479691052572	0.00246848608178289	2.60756931714687	Overexpression	****	9.8e-131	130.008773924308	Methylation	MSI	0.682	NS	0.651	NS	0.963	NS	0.743	NS
ABAT	LUAD	-0.192425419598029	0.00301310201782344	2.5209861637041	Underexpression	****	3.1e-08	7.50863830616573	Methylation	MSI	0.0131	Protective	0.000219	Protective	0.639	NS	0.00782	Protective
ABAT	LUAD	-0.198099448851099	2.52073733192774e-09	8.59847240669866	Underexpression	****	3.1e-08	7.50863830616573	Methylation	Stemness	0.0131	Protective	0.000219	Protective	0.639	NS	0.00782	Protective
ABAT	LUSC	-0.240577166411108	7.95657187023822e-05	4.09927400996649	Underexpression	****	1e-37	37	Methylation	Stemness	0.33	NS	0.268	NS	0.852	NS	0.444	NS
ABAT	PAAD	-0.340154813618885	0.000146898641365212	3.83298222088993	Underexpression	****	1.1e-23	22.9586073148418	Methylation	MSI	0.0534	NS	0.108	NS	0.012	Risky	0.00142	Risky
ABAT	PCPG	-0.342506425823218	0.0192854774872825	1.71476960400951	Overexpression	**	0.005	2.30102999566398	Methylation	MSI	0.402	NS	0.111	NS	0.0549	NS	0.00204	Risky
ABAT	PCPG	-0.411041251336562	1.26081716930655e-19	18.8993478857648	Overexpression	**	0.005	2.30102999566398	Methylation	Stemness	0.402	NS	0.111	NS	0.0549	NS	0.00204	Risky
ABAT	PRAD	0.606679942792138	1.97119823914995e-07	6.70526969746605	Overexpression	****	2.8e-14	13.5528419686578	Methylation	Stemness	0.0684	NS	0.0161	Risky	0.357	NS	0.0458	Risky
ABAT	SKCM	-0.35840098454002	0.000950241797764718	3.02216587042351	Underexpression	****	1.6e-64	63.7958800173441	Methylation	MSI	0.00746	Protective	0.0146	Protective			0.608	NS
ABAT	SKCM	-0.176049818857637	0.000378202981402913	3.422275051901	Underexpression	****	1.6e-64	63.7958800173441	Methylation	Stemness	0.00746	Protective	0.0146	Protective			0.608	NS
ABAT	THCA	0.223771122713426	2.5964049889967e-13	12.5856275650425	Overexpression	****	6.9e-05	4.16115090926274	Methylation	Stemness	0.01	Risky	0.00244	Risky	0.207	NS	0.0036	Risky
ABAT	THCA	0.211657160585886	6.36522933317361e-05	4.19618594451031	Overexpression	****	6.9e-05	4.16115090926274	Methylation	TMB	0.01	Risky	0.00244	Risky	0.207	NS	0.0036	Risky
ABAT	THYM	0.631255601512294	2.64373734909788e-06	5.57778169347668	Overexpression	****	2.9e-08	7.53760200210104	Methylation	Stemness	0.448	NS	0.981	NS			0.213	NS
ABHD14A-ACY1	BRCA	0.138682035563942	0.00136409945870719	2.86515396340902	Underexpression	****	1.8e-28	27.7447274948967	Methylation	Stemness	0.536	NS	0.229	NS	0.0782	NS	0.197	NS
ABHD14A-ACY1	ESCA	-0.247990975061224	0.00743976025161804	2.12844105949135	Underexpression	*	0.011	1.95860731484178	Methylation	TMB	0.928	NS	0.982	NS	0.685	NS	0.581	NS
ABHD14A-ACY1	GBM	-0.454638999281651	0.0310903805027905	1.507373962767	Unchanged	ns	0.39	0.408935392973501	Methylation	TMB	0.524	NS	0.384	NS			0.949	NS
ABHD14A-ACY1	KIRC	0.276014821455004	7.2981302830957e-07	6.13678838806311	Underexpression	****	9e-17	16.0457574905607	Methylation	Stemness	0.0105	Risky	0.0301	Risky	0.0593	NS	0.347	NS
ABHD14A-ACY1	KIRP	-0.263040853812924	0.000439341811575493	3.35719746353999	Underexpression	****	3.6e-06	5.44369749923271	Methylation	TMB	1.38e-07	Risky	2.22e-10	Risky	0.0267	Risky	1.07e-07	Risky
ABHD14A-ACY1	LGG	0.220992534375452	9.59225593697465e-06	5.01807924207216	Overexpression	****	2.9e-06	5.53760200210104	Methylation	Stemness	3.03e-09	Protective	1.5e-08	Protective	0.295	NS	2.11e-11	Protective
ABHD14A-ACY1	LIHC	-0.198676426546912	1.044771574626e-05	4.98097865187203	Underexpression	****	1.3e-08	7.88605664769316	Methylation	Stemness	0.474	NS	0.889	NS	0.645	NS	0.868	NS
ABHD14A-ACY1	LUAD	0.158132039314207	0.00140616631444331	2.85196331006061	Underexpression	***	0.00041	3.38721614328026	Methylation	Stemness	0.0547	NS	0.0245	Risky	0.578	NS	0.302	NS
ABHD14A-ACY1	PRAD	0.191416893411712	0.000279936625228016	3.55294027733288	Underexpression	****	2.7e-10	9.56863623584101	Methylation	Stemness	0.322	NS	0.146	NS	0.647	NS	0.938	NS
ABHD14A-ACY1	STAD	-0.265686897528681	0.000850558476840992	3.07029582279646	Overexpression	***	0.00022	3.65757731917779	Methylation	MSI	0.86	NS	0.921	NS	0.611	NS	0.579	NS
ABHD14A-ACY1	TGCT	-0.432937288910352	0.0141127483111833	1.85038840366907	Underexpression	****	3.5e-19	18.4559319556497	Methylation	Stemness	0.824	NS	0.802	NS	0.298	NS	0.354	NS
ABHD14A-ACY1	THCA	0.334193727718787	0.00516456463625175	2.28696628286511	Underexpression	****	2e-42	41.698970004336	Methylation	Stemness	0.635	NS	0.783	NS	0.584	NS	0.709	NS
ABHD14A-ACY1	UCEC	0.262110206062464	1.75953948347782e-14	13.7546009832965	Underexpression	****	5.1e-15	14.2924298239021	Methylation	Stemness	0.369	NS	0.977	NS	0.861	NS	0.368	NS
ABHD16A	BRCA	0.239213392607833	4.4793833943597e-11	10.3487817643182	Overexpression	****	4.2e-31	30.3767507096021	Methylation	Stemness	0.785	NS	0.462	NS	0.0494	Protective	0.121	NS
ABHD16A	COAD	-0.240605216086555	0.0273184475038471	1.56354398506629	Overexpression	*	0.016	1.79588001734408	Methylation	Stemness	0.218	NS	0.311	NS	0.387	NS	0.544	NS
ABHD16A	COAD	0.278071542434047	0.0308395072675092	1.51089256942495	Overexpression	*	0.016	1.79588001734408	Methylation	TMB	0.218	NS	0.311	NS	0.387	NS	0.544	NS
ABHD16A	ESCA	-0.248157388179129	0.000182654093584847	3.73837059007463	Underexpression	****	1.2e-06	5.92081875395237	Methylation	TMB	0.795	NS	0.677	NS	0.141	NS	0.883	NS
ABHD16A	KIRC	0.398261916119875	0.000721177877677672	3.14195760384352	Unchanged	ns	0.24	0.619788758288394	Methylation	Stemness	0.107	NS	0.0827	NS	0.0121	Protective	0.678	NS
ABHD16A	LIHC	-0.346815647859168	0.000831169539970012	3.08031038083266	Overexpression	****	5.4e-31	30.267606240177	Methylation	Stemness	0.566	NS	0.0944	NS	0.00626	Protective	0.0507	NS
ABHD16A	LUAD	0.174107200354726	0.00648637601098642	2.18799787916547	Underexpression	****	2.2e-22	21.6575773191778	Methylation	TMB	0.772	NS	0.71	NS	0.958	NS	0.563	NS
ABHD16A	PAAD	-0.466259579056292	3.84496930999889e-09	8.41510712232583	Overexpression	****	1.3e-47	46.8860566476932	Methylation	MSI	0.0197	Risky	0.0262	Risky	0.0182	Risky	4.26e-05	Risky
ABHD16A	PCPG	-0.301461251713069	0.00095583761600358	3.01961588226748	Overexpression	*	0.01	2	Methylation	MSI	0.00554	Risky	0.00045	Risky	0.316	NS	2.7e-05	Risky
ABHD16A	PCPG	-0.374150995831434	1.33923869020382e-12	11.8731420125323	Overexpression	*	0.01	2	Methylation	Stemness	0.00554	Risky	0.00045	Risky	0.316	NS	2.7e-05	Risky
ABHD16A	PRAD	0.276221879434647	3.09133646461297e-09	8.50985372325365	Underexpression	****	1.3e-11	10.8860566476932	Methylation	Stemness	0.756	NS	0.138	NS	0.688	NS	0.142	NS
ABHD16A	SARC	0.200356910339322	1.6073354706512e-08	7.79389347118461	Unchanged	ns	0.41	0.387216143280265	Methylation	Stemness	0.631	NS	0.183	NS	0.0918	NS	0.0672	NS
ABHD16A	STAD	-0.271680111106753	0.000532111133992231	3.27399765372178	Overexpression	****	7.2e-11	10.1426675035687	Methylation	MSI	0.869	NS	0.655	NS	0.968	NS	0.782	NS
ABHD16A	STAD	-0.21942126644362	1.63938181549142e-11	10.7853198865457	Overexpression	****	7.2e-11	10.1426675035687	Methylation	Stemness	0.869	NS	0.655	NS	0.968	NS	0.782	NS
ABHD16A	TGCT	-0.308362688943308	4.3615130096439e-06	5.3603628277604	Underexpression	****	4.1e-16	15.3872161432803	Methylation	Stemness	0.646	NS	0.777	NS	0.371	NS	0.394	NS
ABHD16A	THCA	0.285537599871397	5.27598966762277e-18	17.2776960636372	Underexpression	****	3.5e-22	21.4559319556497	Methylation	Stemness	0.192	NS	0.0815	NS	0.432	NS	0.929	NS
ABHD16A	THYM	0.705679870366753	0.00242344075356027	2.61556759311323	Overexpression	****	1.8e-08	7.74472749489669	Methylation	Stemness	0.0478	Protective	0.564	NS			0.701	NS
ABHD16A	UCEC	0.422950931685873	1.89783209616241e-10	9.7217422128443	Unchanged	ns	0.31	0.508638306165727	Methylation	Stemness	0.881	NS	0.906	NS	0.238	NS	0.181	NS
ACAA1	BLCA	-0.186325442119698	0.00331055882844502	2.48009869032547	Unchanged	ns	0.093	1.03151705144606	Methylation	Stemness	0.00301	Risky	0.00688	Risky	0.888	NS	0.0347	Risky
ACAA1	BRCA	0.10774689167446	0.03924072173977	1.4062630134043	Unchanged	ns	0.4	0.397940008672038	Methylation	Stemness	0.175	NS	0.529	NS	0.946	NS	0.944	NS
ACAA1	COAD	-0.286055906945579	1.45056835512271e-11	10.8384618011232	Underexpression	***	0.00045	3.34678748622466	Methylation	Stemness	0.244	NS	0.057	NS	0.642	NS	0.0208	Risky
ACAA1	COAD	0.264437479800487	0.000533549937117047	3.27282492694347	Underexpression	***	0.00045	3.34678748622466	Methylation	TMB	0.244	NS	0.057	NS	0.642	NS	0.0208	Risky
ACAA1	ESCA	-0.318854619733038	2.17855087416317e-05	4.66183229383685	Underexpression	****	1.4e-30	29.8538719643218	Methylation	Stemness	0.593	NS	0.895	NS	0.16	NS	0.941	NS
ACAA1	GBM	0.485597816275085	0.00988983980141599	2.0048107431778	Overexpression	****	2.1e-42	41.6777807052661	Methylation	Stemness	0.0776	NS	0.0766	NS			0.0619	NS
