genes	cancer_types	correlation	Correlation_p.adj	log10_correlation	Expression	Expression_p.sgnif	Expression_p.adj	log10_p.adj	Genotypic_var	Phenotypic_var
FER1L4	STAD	-0.309004978238356	0.00577294569707595	2.23860252765141	Underexpression	****	1.4e-16	15.8538719643218	CNV	MSI
FER1L4	LUAD	0.139762861068654	4.37022127564059e-06	5.35949657301658	Overexpression	**	0.0071	2.14874165128092	CNV	MSI
FTX	KIRP	-0.223741020726572	0.00178437300217103	2.74851435632083	Underexpression	****	3.4e-06	5.46852108295774	CNV	MSI
FTX	KIRC	-0.203968148370303	0.00333158023049802	2.47734972367064	Underexpression	**	0.0072	2.14266750356873	CNV	MSI
FTX	PCPG	-0.275375132969324	0.00970165044095848	2.01315437744215	Overexpression	*	0.02	1.69897000433602	CNV	MSI
GACAT1	THCA	-0.146597273538454	0.0287150255982245	1.54189079222758	Underexpression				CNV	MSI
GLRX3	GBM	0.407528990218775	7.59787388482417e-06	5.1193079194651	Overexpression	****	5e-64	63.301029995664	CNV	MSI
GUCY1B2	KIRP	-0.191383032538189	0.00524043817315149	2.28063239846935	Underexpression	*	0.044	1.35654732351381	CNV	MSI
GUCY1B2	COAD	-0.252931117055087	0.0272819104149142	1.56412522149337	Overexpression	****	1e-23	23	CNV	MSI
GUSBP11	KIRP	-0.25427649525749	0.000355120925830379	3.44962373573866	Unchanged	ns	0.13	0.886056647693163	CNV	MSI
GUSBP11	PCPG	-0.25179308782953	0.0311445161492469	1.50661841179078	Unchanged	ns	0.26	0.585026652029182	CNV	MSI
H19	PAAD	-0.248807510999824	0.030254764328094	1.51920622568997	Overexpression	****	2.9e-07	6.53760200210104	CNV	MSI
HCG11	KIRP	-0.377111090486657	1.34131524771971e-09	8.87246913843855	Overexpression	*	0.036	1.44369749923271	CNV	MSI
HCG18	KIRP	-0.377111090486657	1.34131524771971e-09	8.87246913843855	Unchanged	ns	0.76	0.119186407719209	CNV	MSI
HCG22	KIRP	-0.377111090486657	1.34131524771971e-09	8.87246913843855	Unchanged	ns	0.5	0.301029995663981	CNV	MSI
HCG9	KIRP	-0.377111090486657	1.34131524771971e-09	8.87246913843855	Overexpression	**	0.0082	2.08618614761628	CNV	MSI
HCP5	KIRP	-0.370437807123078	3.07258318448687e-09	8.51249635056532	Overexpression	****	4.4e-10	9.35654732351381	CNV	MSI
HOTAIRM1	COAD	-0.339212938440331	1.23817983798947e-05	4.90721627213801	Underexpression	****	1.7e-76	75.7695510786217	CNV	MSI
HOTTIP	COAD	-0.339212938440331	1.23817983798947e-05	4.90721627213801	Overexpression	****	2.4e-05	4.61978875828839	CNV	MSI
HULC	KIRP	-0.282102823648747	3.39565136658141e-05	4.46907690539578	Overexpression	*	0.048	1.31875876262441	CNV	MSI
IL7R	KIRP	0.207328660346939	0.010070704027767	1.99694016751127	Overexpression	**	0.0051	2.29242982390206	CNV	MSI
IL7R	PAAD	0.393407068341331	4.31489684437593e-06	5.36502958244097	Overexpression	****	1.5e-38	37.8239087409443	CNV	MSI
JPX	KIRP	-0.223741020726572	0.00178437300217103	2.74851435632083	Overexpression	**	0.0035	2.45593195564972	CNV	MSI
JPX	KIRC	-0.203968148370303	0.00333158023049802	2.47734972367064	Unchanged	ns	0.37	0.431798275933005	CNV	MSI
JPX	PCPG	-0.275375132969324	0.00970165044095848	2.01315437744215	Unchanged	ns	0.79	0.102372908709559	CNV	MSI
KCNQ1OT1	PAAD	-0.248723430860227	0.0303730583149087	1.51751147602982	Underexpression	***	0.00038	3.42021640338319	CNV	MSI
KIAA0087	COAD	-0.339212938440331	1.23817983798947e-05	4.90721627213801	Underexpression	****	8.9e-13	12.0506099933551	CNV	MSI
KRT16P2	COAD	0.345344927106585	7.46202541710315e-06	5.12714327600159	Underexpression	**	0.0059	2.22914798835786	CNV	MSI
LINC00028	COAD	-0.372848448566226	6.71545975152555e-07	6.17292424945608	Underexpression	****	2.6e-16	15.5850266520292	CNV	MSI
LINC00028	PAAD	0.315804416131014	0.000798210371201	3.09788263369795	Underexpression	****	3.2e-06	5.49485002168009	CNV	MSI
LINC00028	STAD	-0.302663835603479	7.93916982766001e-06	5.10022490791495	Unchanged	ns	0.18	0.744727494896694	CNV	MSI
LINC00052	KIRP	-0.247688349372893	0.000596116747023398	3.22466867713431	Underexpression	****	3.9e-21	20.4089353929735	CNV	MSI
LINC00115	KIRP	-0.329513332921494	0.0155999460654631	1.80687690315273	Unchanged	ns	0.056	1.2518119729938	CNV	MSI
LINC00115	KIRC	-0.175260514694944	3.32343334735991e-07	6.4784130267331	Overexpression	**	0.0078	2.10790539730952	CNV	MSI
LINC00174	COAD	-0.252626410105731	0.00533571067849747	2.27280772746831	Underexpression	****	6.2e-43	42.2076083105017	CNV	MSI
LINC00184	PAAD	-0.268494601309636	0.0116988830412793	1.93185560083207	Overexpression	****	9.3e-06	5.03151705144607	CNV	MSI
LINC00210	PAAD	-0.304070288108282	0.00173574224970075	2.76051476524451	Underexpression				CNV	MSI
LINC00221	KIRP	-0.266055446093518	0.00013573066013471	3.86732203868303	Underexpression	***	4e-04	3.39794000867204	CNV	MSI
LINC00240	KIRP	-0.377111090486657	1.34131524771971e-09	8.87246913843855	Overexpression	****	3.9e-15	14.4089353929735	CNV	MSI
LINC00242	KIRP	-0.381057899211225	8.14215071782639e-10	9.08926086273843	Unchanged	ns	0.25	0.602059991327962	CNV	MSI
LINC00243	KIRP	-0.362768493222845	7.78298597343467e-09	8.10885375223983	Unchanged	ns	0.77	0.113509274827518	CNV	MSI
LINC00261	PAAD	0.281187764887565	0.00609555694517198	2.21498660716381	Underexpression	****	3e-32	31.5228787452803	CNV	MSI
LINC00261	STAD	-0.198831847669903	0.0214916718184311	1.66772979980503	Underexpression	****	1.2e-15	14.9208187539524	CNV	MSI
LINC00265	COAD	-0.305304370312343	0.000168367381611566	3.77374204204201	Underexpression	**	0.0052	2.2839966563652	CNV	MSI
LINC00273	PAAD	-0.295428756542018	0.00282430091109799	2.54908903387116	Unchanged	ns	0.97	0.0132282657337552	CNV	MSI
LINC00299	THCA	-0.139670815596401	0.0486565147642876	1.31285900253316	Underexpression	****	1.5e-31	30.8239087409443	CNV	MSI
LINC00301	PAAD	-0.237875637465789	0.00241028343159544	2.61793188458687	Underexpression	*	0.021	1.67778070526608	CNV	MSI
LINC00301	LIHC	-0.203025312686825	0.047545290606147	1.32289249376448	Underexpression	****	6.7e-07	6.17392519729917	CNV	MSI
LINC00324	COAD	0.343243443589142	8.88706337394164e-06	5.05124172285243	Overexpression	**	0.0012	2.92081875395238	CNV	MSI
LINC00324	PAAD	0.254761213043381	0.0208848548803149	1.68016853811001	Overexpression	****	5.5e-47	46.2596373105058	CNV	MSI
LINC00324	STAD	0.200603059614993	0.0193076172738476	1.71427131859084	Overexpression	****	1.9e-12	11.7212463990472	CNV	MSI
LINC00326	KIRP	-0.305705440216994	3.75851479871198e-06	5.42498373543084	Unchanged	ns	0.28	0.552841968657781	CNV	MSI
LINC00339	KIRP	-0.379603072301407	0.0457044614928791	1.3400414037121	Overexpression	*	0.025	1.60205999132796	CNV	MSI
LINC00339	COAD	0.211389395551318	0.00866777585402264	2.06209232792672	Underexpression	***	7e-04	3.15490195998574	CNV	MSI
LINC00339	KIRC	-0.183304531296091	9.79466470180841e-10	9.00901042650404	Unchanged	ns	0.76	0.119186407719209	CNV	MSI
LINC00342	THCA	-0.146597273538454	0.0287150255982245	1.54189079222758	Underexpression	****	1.5e-92	91.8239087409443	CNV	MSI
LINC00355	KIRP	-0.202093219974528	0.0164070351458165	1.78496989159438	Unchanged	ns	0.12	0.920818753952375	CNV	MSI
LINC00355	COAD	-0.232017468432427	0.0147269894707412	1.83188602368503	Underexpression	****	1.5e-16	15.8239087409443	CNV	MSI
LINC00365	KIRP	-0.216275200323617	0.00359463605068396	2.44434507445525	Underexpression	*	0.014	1.85387196432176	CNV	MSI
LINC00365	COAD	-0.259222181066634	0.00556722681828097	2.25436108443742	Overexpression	****	2.2e-54	53.6575773191778	CNV	MSI
LINC00426	KIRP	-0.216275200323617	0.00359463605068396	2.44434507445525	Overexpression	****	8.6e-06	5.06550154875643	CNV	MSI
LINC00426	COAD	-0.259222181066634	0.00556722681828097	2.25436108443742	Overexpression	**	0.0025	2.60205999132796	CNV	MSI
LINC00452	KIRP	-0.245315378769476	0.0219901376643425	1.65777205182715	Underexpression	****	5e-08	7.30102999566398	CNV	MSI
LINC00452	COAD	-0.226556920803636	0.000715901247391614	3.1451468808636	Underexpression	****	5.1e-22	21.2924298239021	CNV	MSI
LINC00458	KIRP	-0.191383032538189	0.00767583645744155	2.11487428698338	Unchanged	ns	0.3	0.522878745280338	CNV	MSI
LINC00458	COAD	-0.246394187865029	0.0272819104149142	1.56412522149337	Unchanged	ns	0.24	0.619788758288394	CNV	MSI
LINC00460	KIRP	-0.244639161021797	0.0183336201883876	1.73675177002946	Overexpression	****	2.9e-10	9.53760200210104	CNV	MSI
LINC00460	COAD	-0.229962418388151	0.000753996228773833	3.12263082631432	Overexpression	****	4.3e-103	102.36653154442	CNV	MSI
LINC00466	KIRP	-0.283603528994617	0.00113723181249659	2.94415100002057	Unchanged	ns	0.74	0.130768280269024	CNV	MSI
LINC00466	KIRC	-0.208819316889272	2.96950637545936e-05	4.52731573796606	Underexpression	**	0.0055	2.25963731050576	CNV	MSI
LINC00466	PCPG	-0.269597387721697	0.0128856199016139	1.88989468356443	Unchanged	ns	0.34	0.468521082957745	CNV	MSI
LINC00472	KIRP	-0.306879449983953	3.35124473538364e-06	5.47479385526065	Underexpression	****	3.1e-18	17.5086383061657	CNV	MSI
LINC00473	KIRP	-0.381057899211225	8.14215071782639e-10	9.08926086273843	Underexpression	****	2.5e-31	30.602059991328	CNV	MSI
LINC00475	KIRP	-0.280197654813727	4.02133009008138e-05	4.39563027645764	Overexpression	****	1.4e-24	23.8538719643218	CNV	MSI
LINC00482	LUAD	0.157004769967575	0.0140433982978391	1.85252778654977	Underexpression	***	0.00011	3.95860731484178	CNV	MSI
LINC00488	PAAD	-0.265792640499873	0.0133864652728671	1.87333408431331	Underexpression	****	6.5e-05	4.18708664335714	CNV	MSI
LINC00491	PAAD	0.279866883818426	0.00653301842478846	2.18488611698657	Underexpression	**	0.0067	2.17392519729917	CNV	MSI
LINC00501	KIRC	0.191108980826902	0.0369424895186123	1.43247384122482	Overexpression	****	4.1e-08	7.38721614328026	CNV	MSI
LINC00501	BLCA	0.164796745252212	0.00500286276788992	2.300781409962	Unchanged	ns	0.088	1.05551732784983	CNV	MSI
LINC00504	PAAD	0.2525078490231	0.025447484035838	1.59435514941233	Overexpression	****	4.8e-19	18.3187587626244	CNV	MSI
LINC00504	STAD	0.186604856604647	0.0439478718904917	1.35706215013727	Underexpression	***	0.00059	3.22914798835786	CNV	MSI
LINC00511	LUAD	0.175277239942172	0.00292766366867516	2.53347881669434	Overexpression	****	1.2e-115	114.920818753952	CNV	MSI
LINC00518	KIRP	-0.282102823648747	3.39565136658141e-05	4.46907690539578	Underexpression	***	0.00019	3.72124639904717	CNV	MSI
LINC00519	KIRP	-0.270672712898216	9.19265153497007e-05	4.03655920233385	Unchanged	ns	0.5	0.301029995663981	CNV	MSI
LINC00520	KIRP	-0.283916153597178	2.88741533736356e-05	4.53949074097162	Overexpression	****	1.2e-05	4.92081875395237	CNV	MSI
LINC00525	COAD	-0.321038434989448	5.21682982861068e-05	4.2825933295994	Overexpression	****	3.2e-68	67.4948500216801	CNV	MSI
LINC00526	COAD	0.361934807923391	0.00997367541150548	2.0011447697938	Unchanged	ns	0.7	0.154901959985743	CNV	MSI
LINC00526	BLCA	0.183638835106771	1.79423840824386e-06	5.74611985086518	Underexpression	*	0.017	1.76955107862173	CNV	MSI
LINC00528	KIRP	-0.287707275650415	2.04968712992707e-05	4.68831242583014	Unchanged	ns	0.44	0.356547323513813	CNV	MSI
LINC00562	KIRP	-0.202093219974528	0.00894439870808294	2.04844884979073	Overexpression	***	0.00041	3.38721614328026	CNV	MSI
LINC00562	COAD	-0.243724779028452	0.014086685580709	1.85119117888041	Unchanged	ns	0.094	1.0268721464003	CNV	MSI
LINC00589	KIRP	-0.241562377069445	0.0150995430324251	1.82103619585247	Underexpression	****	8.9e-06	5.05060999335509	CNV	MSI
LINC00589	COAD	0.232689646125713	0.000952813442437135	3.02099212438937	Overexpression	****	4e-37	36.397940008672	CNV	MSI
LINC00589	STAD	0.212289575027063	0.0379290079399379	1.42102851642838	Overexpression	****	5.6e-37	36.2518119729938	CNV	MSI
LINC00589	LUAD	-0.142461304223797	0.00930567315810856	2.03125220520084	Overexpression	****	3e-43	42.5228787452803	CNV	MSI
LINC00607	THCA	-0.164341680339847	0.00668904075834654	2.1746361577518	Overexpression	****	5.7e-35	34.2441251443275	CNV	MSI
LINC00619	GBM	0.339563156667276	0.000633265738157103	3.19841400815431	Underexpression	*	0.014	1.85387196432176	CNV	MSI
LINC00629	KIRP	-0.227997007600141	0.00681453808612249	2.16656357687214	Underexpression	****	3.4e-07	6.46852108295774	CNV	MSI
LINC00629	KIRC	-0.186502457159049	0.00257911437692634	2.58852939761913	Unchanged	ns	0.22	0.657577319177794	CNV	MSI
LINC00629	PCPG	-0.276104437643194	0.00935609220817958	2.02890550668907	Underexpression	*	0.013	1.88605664769316	CNV	MSI
LINC00630	KIRP	-0.232751102479615	0.00274673912860941	2.56118258571426	Unchanged	ns	0.31	0.508638306165727	CNV	MSI
LINC00630	KIRC	-0.198134515133747	0.00183145049923465	2.73720481502825	Underexpression	*	0.043	1.36653154442041	CNV	MSI
LINC00630	PCPG	-0.28665362097143	0.00547490462370227	2.26162344210622	Unchanged	ns	0.058	1.23657200643706	CNV	MSI
LINC00632	KIRP	-0.227997007600141	0.0101758542322572	1.99242912286113	Unchanged	ns	0.062	1.20760831050175	CNV	MSI
LINC00632	KIRC	-0.180510646164604	0.00257911437692634	2.58852939761913	Overexpression	****	4.5e-15	14.3467874862247	CNV	MSI
LINC00632	PCPG	-0.276104437643194	0.00980162040856908	2.00870212060078	Overexpression	**	0.0043	2.36653154442041	CNV	MSI
LINC00641	KIRP	-0.278897920122942	4.50986450352841e-05	4.34583650607191	Underexpression	***	0.00049	3.30980391997149	CNV	MSI
LINC00645	KIRP	-0.280719090977383	3.83991777778302e-05	4.41567807486097	Underexpression	****	7.3e-26	25.1366771398795	CNV	MSI
LINC00659	COAD	-0.367570064016396	1.08512213232044e-06	5.96452137849032	Overexpression	****	5.1e-94	93.2924298239021	CNV	MSI
LINC00659	PAAD	0.258547485520275	0.00488357498975452	2.31126213908342	Overexpression	****	6.1e-07	6.21467016498923	CNV	MSI
LINC00659	STAD	-0.299894917712097	0.0165923340662735	1.78009251688086	Overexpression	****	6.9e-24	23.1611509092627	CNV	MSI
LINC00659	LUAD	0.16847548117838	1.02583130209487e-05	4.98892405305769	Unchanged	ns	0.12	0.920818753952375	CNV	MSI
LINC00665	THCA	0.142971826355462	0.0379518468974476	1.42076708464721	Underexpression	****	7.3e-29	28.1366771398795	CNV	MSI
LINC00667	COAD	0.361934807923391	0.00997367541150548	2.0011447697938	Underexpression	****	3.5e-38	37.4559319556497	CNV	MSI
LINC00667	BLCA	0.183638835106771	1.79423840824386e-06	5.74611985086518	Underexpression	****	1.4e-08	7.85387196432176	CNV	MSI
LINC00668	COAD	0.363720888426281	0.00615274202671492	2.21093129370815	Overexpression	****	2.1e-14	13.6777807052661	CNV	MSI
LINC00668	BLCA	0.190145486841431	1.53148323695623e-06	5.81488775245666	Unchanged	ns	0.48	0.318758762624413	CNV	MSI
LINC00680	KIRP	-0.279049550894943	4.45007621635236e-05	4.35163255080383	Unchanged	ns	0.74	0.130768280269024	CNV	MSI
LINC00680	LUAD	0.175559190695522	0.00272994380340653	2.56384629293054	Overexpression	****	1.1e-11	10.9586073148418	CNV	MSI
LINC00689	COAD	-0.268031817406356	0.00208641215034673	2.68059989680076	Underexpression	****	9.2e-73	72.0362121726544	CNV	MSI
LINC00702	GBM	0.266281877689831	0.0266647025991982	1.57406325579312	Overexpression	****	1.6e-40	39.7958800173441	CNV	MSI
LINC00707	GBM	0.255351088586632	0.0429378252372445	1.36715995597295	Unchanged	ns	0.29	0.537602002101044	CNV	MSI
LINC00839	GBM	0.369439708685392	0.000102436900123729	3.98954357233098	Underexpression	*	0.016	1.79588001734408	CNV	MSI
LINC00844	GBM	0.268157497956568	0.0245220087010468	1.61044395780575	Underexpression	****	1.9e-18	17.7212463990472	CNV	MSI
LINC00853	KIRP	-0.280290554659001	0.00367065614598948	2.4352562967528	Overexpression	*	0.044	1.35654732351381	CNV	MSI
LINC00853	KIRC	-0.19449571397413	3.98842073723837e-05	4.39919903435665	Unchanged	ns	0.79	0.102372908709559	CNV	MSI
LINC00853	PCPG	-0.272385643806458	0.0112449937847588	1.94904078026798	Unchanged	ns	0.25	0.602059991327962	CNV	MSI
LINC00857	GBM	0.349202737497966	0.000358937729920002	3.44498088818439	Underexpression	****	2.5e-37	36.602059991328	CNV	MSI
LINC00858	GBM	0.349202737497966	0.000358937729920002	3.44498088818439	Underexpression	****	4.7e-13	12.3279021420643	CNV	MSI
LINC00882	PAAD	-0.258925714129832	0.0187359549350348	1.72732416686444	Overexpression	****	7e-45	44.1549019599857	CNV	MSI
LINC00885	KIRC	0.17153554604777	0.0158511202834547	1.79994003844754	Underexpression	****	3.4e-45	44.4685210829577	CNV	MSI
LINC00885	BLCA	0.177814757601304	0.0203079361158663	1.69233421145664	Overexpression	***	0.00036	3.44369749923271	CNV	MSI
LINC00887	KIRC	0.191382812177932	0.0177311540739364	1.7512629963996	Overexpression	****	3.1e-46	45.5086383061657	CNV	MSI
LINC00887	BLCA	0.175591563929821	0.00489755389467313	2.31002077615398	Unchanged	ns	0.077	1.11350927482752	CNV	MSI
LINC00899	KIRP	-0.224297216043081	0.00334998229911798	2.47495748771411	Overexpression	**	0.0059	2.22914798835786	CNV	MSI
LINC00908	COAD	0.48034328071148	4.8315443570704e-12	11.315914028969	Underexpression	****	5.4e-70	69.267606240177	CNV	MSI
LINC00922	PAAD	-0.252592648331004	0.0253460180528644	1.59609026013749	Overexpression	****	2.2e-55	54.6575773191778	CNV	MSI
LINC00924	KIRP	-0.240242605818028	0.0010524463047727	2.9778000523909	Underexpression	****	1.9e-17	16.7212463990472	CNV	MSI
LINC00926	KIRP	-0.301956302725412	5.40289992874562e-06	5.26737307628758	Underexpression	**	0.0027	2.56863623584101	CNV	MSI
LINC00960	BRCA	-0.109953766839079	0.0205261887908605	1.68769168096321	Underexpression	****	1.2e-40	39.9208187539524	CNV	MSI
LINC00963	KIRP	-0.299248858702601	6.99962231874151e-06	5.15492539274454	Unchanged	ns	0.44	0.356547323513813	CNV	MSI
LUCAT1	KIRP	0.201580113750358	0.00951758202613327	2.02147337158283	Overexpression	****	1.7e-09	8.76955107862173	CNV	MSI
LUCAT1	PAAD	0.279866883818426	0.0138898337112467	1.8573029535943	Overexpression	****	1.5e-34	33.8239087409443	CNV	MSI
LUCAT1	LUAD	-0.14310104524062	0.0361604046540593	1.44176671818446	Unchanged	ns	0.34	0.468521082957745	CNV	MSI
LUCAT1	BRCA	-0.11642813230247	0.00653301842478846	2.18488611698657	Underexpression	****	1.2e-25	24.9208187539524	CNV	MSI
MALAT1	PAAD	-0.273192103574835	0.00922463039384172	2.03505102583348	Underexpression	*	0.011	1.95860731484178	CNV	MSI
MEG3	KIRP	-0.21912113978404	0.00479539775981629	2.31917536394089	Underexpression	****	8.4e-23	22.0757207139381	CNV	MSI
MEG8	KIRP	-0.234240123956394	0.00164282545491854	2.78440857654823	Underexpression	****	2e-15	14.698970004336	CNV	MSI
MIAT	KIRP	-0.259874604425161	0.000226129500541101	3.64564277650265	Unchanged	ns	0.14	0.853871964321762	CNV	MSI
MIAT	PCPG	-0.257324854491821	0.0241686490589162	1.61674762442293	Overexpression	**	0.0045	2.34678748622466	CNV	MSI
MIR137HG	KIRP	-0.324308328615855	5.75142527981089e-07	6.2402245180141	Unchanged	ns	0.5	0.301029995663981	CNV	MSI
MIR137HG	PCPG	-0.243870426296165	0.0443585188523777	1.35302296353682	Overexpression	**	0.0036	2.44369749923271	CNV	MSI
MIR17HG	KIRP	-0.243389172144443	0.0140494906158012	1.85233942143556	Underexpression	**	0.0044	2.35654732351381	CNV	MSI
MIR17HG	COAD	-0.234859123482884	0.000829509216185206	3.08117878442426	Overexpression	****	3.6e-24	23.4436974992327	CNV	MSI
MIR181A2HG	KIRP	-0.299248858702601	6.99962231874151e-06	5.15492539274454	Unchanged	ns	0.68	0.167491087293764	CNV	MSI
MIR210HG	BLCA	-0.163668364875196	0.0415987651334403	1.38091956128895	Overexpression	*	0.022	1.65757731917779	CNV	MSI
MIR22HG	COAD	0.305875910399737	0.000161539798397723	3.7917204634555	Underexpression	****	1.8e-73	72.7447274948967	CNV	MSI
MIR22HG	PAAD	0.264618709201743	0.0135705596088056	1.867402242981	Overexpression	****	3.9e-26	25.4089353929735	CNV	MSI
MIR31HG	KIRP	-0.294044936402819	1.14289064012042e-05	4.94199532399183	Overexpression	****	1.2e-09	8.92081875395237	CNV	MSI
MIR31HG	THCA	-0.155541041427494	0.0134344080089764	1.87178146611949	Overexpression	****	4e-58	57.397940008672	CNV	MSI
MIR497HG	COAD	0.343243443589142	8.88706337394164e-06	5.05124172285243	Underexpression	****	6.5e-91	90.1870866433571	CNV	MSI
MIR497HG	PAAD	0.257889017250729	0.018839826580135	1.72492309918842	Overexpression	****	3.5e-28	27.4559319556497	CNV	MSI
