deathtype	gene	description	gene_id	gene_biotype	pmid	comment
Apoptosis	ENO1	enolase 1	ENSG00000074800.16	protein_coding	30242159	ENO1 participates in apoptosis by regulating PASMC apoptosis.RNA silencing ENO1 and using ENO1 inhibitor ENOblock can suppress PASMC proliferation and induce its apoptosis.Specifically, reducing ENO1 levels can increase the cleavage of PARP,caspase 3,and caspase 9,and promote the apoptotic rate through TUNEL experiment.Overexpression of ENO1 can increase PASMC's resistance to apoptotic stimuli and reduce its apoptotic rate.
Apoptosis	FHIT	fragile histidine triad diadenosine triphosphatase	ENSG00000189283.10	protein_coding	11891319	FHIT mediates apoptosis in lung and cervical cancer cells.The reintroduction of FHIT induces apoptosis in all FHIT-negative cell lines,particularly in Calu-1,H460,A549 among the lung cancer cell lines and SiHa cells among cervical carcinomas.The mechanism by which FHIT induces apoptosis is through the activation of caspase-8, leading to the activation of caspase-3 and subsequent induction of apoptosis.
Apoptosis	FXN	frataxin	ENSG00000165060.15	protein_coding	26849417	FXN's involvement in apoptosis is achieved through the apoptotic death of neuro cells,which is a spontaneous process of cell death typically caused by DNA damage or other severe cellular stress.When the level of FXN gene expression declines,FXN-defective cells undergo uncontrolled apoptosis.The apoptotic death of FXN-deficient cells is achieved by the activation of the neuronal apoptotic pathway.
Apoptosis	GCLM	glutamate-cysteine ligase modifier subunit	ENSG00000023909.10	protein_coding	35366876	GCLM is associated with the process of PTL-induced apoptosis in BCPAP cells and its expression is up-regulated.PRM analysis showed that the protein expression of GCLM increased in these cells,while its mRNA expression level did not change.It can be inferred that GCLM is involved in the process of PTL-induced apoptosis in BCPAP cells,and its role may be achieved by regulating the intracellular redox state.
Apoptosis	GGCT	gamma-glutamylcyclotransferase	ENSG00000006625.18	protein_coding	25256603	The downregulation of GGCT inhibits the growth of MCF-7/ADR breast cancer by inducing cell apoptosis and necrosis.This might be achieved by disrupting the balance of intracellular glutathione (GSH) and thus affecting the function of Nrf2.
Apoptosis	GPX1	glutathione peroxidase 1	ENSG00000233276.9	protein_coding	35968584	The expression of GPX1 is reduced in myocardial cells after I/R injury,while SalB treatment regulates the TRIM8/GPX1 pathway,promotes the expression of GPX1 protein,reduces ROS generation,and the level of cardiac cell apoptosis.At the same time,GPX1 overexpression can alleviate I/R-induced cardiac cell apoptosis.
Apoptosis	GSTP1	glutathione S-transferase pi 1	ENSG00000084207.18	protein_coding	18559526	GSTP1 participates in regulating the cell cycle and apoptosis,and the mutation status of different sites of GSTP1 also affects the apoptotic function of cells.Different haplotypes of GSTP1 have different effects on cell proliferation and apoptosis.
Apoptosis	HMOX1	heme oxygenase 1	ENSG00000100292.18	protein_coding	16458149	When cells are subjected to chronic reperfusion injury,HMOX1 may protect against cell apoptosis by inhibiting the expression of apoptotic regulators,thus exerting a protective effect on cells.After repeated ischemia/reperfusion,overexpression of HMOX1 can significantly reduce myocardial apoptosis (as confirmed by TUNEL staining,the number of TUNEL-positive cells in mouse myocardial cells undergoing repeated I/R is significantly reduced.
Apoptosis	MIF	macrophage migration inhibitory factor	ENSG00000240972.2	protein_coding	33844457	ICBP90 and GR participate in the formation of a 3-protein transcription factor complex at the MIF-794 CATT5-8 promoter,which elevates MIF expression to reduce apoptotic signaling.The relationship between MIF expression level and apoptosis exhibits a bell-shaped dose-response curve,where high concentrations of hormones can reduce MIF expression and promote apoptosis.The anti-apoptotic effect of MIF is achieved through the regulation of Akt and Bcl-2 expression,and differences in genes such as ICBP90 and MIF can lead to cell apoptosis or promote MIF's protective effect.
Apoptosis	MIR132	microRNA 132	ENSG00000267200.1	miRNA	34795586	MIR132 is related to apoptosis through modulating the apoptotic process in cardiomyocytes.MIR132 can play an anti-apoptotic role by activating the phosphatidylinositol-3 kinase/protein kinase B pathway in cardiomyocytes.
Apoptosis	MIR17	microRNA 17	ENSG00000284536.1	miRNA	25077541	MIR17 plays an important role in regulating apoptosis,and can also regulate cellular lifespan and senescence through its pleiotropic effects.Overexpression of miR-17 can inhibit cellular senescence and increase the lifespan of mice.In addition,miR-17 further inhibits cellular senescence and apoptosis by regulating the expression of the MKP7 gene.
Apoptosis	MIR21	microRNA 21	ENSG00000284190.1	miRNA	25145934	MIR21 inhibits podocyte death by suppressing pro-apoptotic signals.TGFB1 can regulate the expression of MIR21 and suppress cell apoptosis by inhibiting the expression of BH3-only genes and promoting AKT activation. Under the stimulation of signals.TGFB1, transfection of MIR21 mimic in mouse podocytes can alleviate podocyte apoptosis.
Apoptosis	MIR210	microRNA 210	ENSG00000199038.1	miRNA	28536634	MIR210 is closely related to the development of atherosclerosis through its role in promoting endothelial cell apoptosis.The high-fat diet upregulates MIR210 by directly targeting PDK1,inducing cell apoptosis in endothelial cells and promoting the development of atherosclerosis.
Apoptosis	MIR221	microRNA 221	ENSG00000207870.1	miRNA	20813046	MIR221 inhibits cell apoptosis by targeting pro-apoptotic gene PUMA,thereby reducing apoptosis.Studies have shown that in human glioma cells,miR-221/222 reduce PUMA protein levels by targeting PUMA-3¡¯UTR,leading to cell survival. Introducing PUMA cDNA without 3¡äUTR abrogated miR-221/222-induced cell survival.On the other hand,knockdown of miR-221/222 induces PUMA expression and significantly reduces cell apoptosis,which can significantly decrease tumor growth in xenograft model.
Apoptosis	MIR222	microRNA 222	ENSG00000207725.3	miRNA	20813046	MIR222 regulates apoptosis in glioblastoma and may be potential therapeutic targets for cancer treatment.MIR-222 reduces PUMA protein levels by targeting PUMA-3'UTR, thereby inhibiting apoptosis and promoting cell survival in human glioblastoma cells. Injection of As-miR-221/222 can reduce tumor growth and induce cell apoptosis.
Apoptosis	NDUFA13	NADH:ubiquinone oxidoreductase subunit A13	ENSG00000186010.19	protein_coding	29078279	NDUFA13 has a regulatory effect on apoptosis.It has been found that a moderate down-regulation of NDUFA13 can provide cell protection against apoptosis through the use of reactive oxygen species (ROS) as a second messenger,ultimately reducing superoxide burst and decreasing infarct size during ischemia-reperfusion (I/R) injury.In addition,down-regulated NDUFA13 resulted in the activation of STAT3 signaling,which has been shown to increase survival in tumor cells.
Apoptosis	NDUFS3	NADH:ubiquinone oxidoreductase core subunit S3	ENSG00000213619.11	protein_coding	16826196	NDUFS3 plays a role in apoptosis by regulating the production of reactive oxygen species (ROS) in MRC complex I.IFN-b and RA have synergistic apoptotic effects in cancer treatment,but the mechanism of action is unclear.The study found that IFN-b/RA upregulates the expression of MRC complex subunits,including NDUFS3,which modulate ROS production and late gene expression,leading to cell death.Knockdown of NDUFS3 leads to a decrease in ROS production and apoptosis in cancer cell lines.The MRC is essential for apoptosis,regulating ROS production and cytochrome c release.
Apoptosis	NOS3	nitric oxide synthase 3	ENSG00000164867.11	protein_coding	12594242	Overexpression of NOS3 can lead to neuronal apoptosis.Overexpression of NOS3 can cause an increase in the levels of several proteins,including p53, p21/Waf1,Bax,and CD95,which leads to mitochondrial dysfunction and an increase in cellular oxidative stress levels.These adverse effects are related to the instability of the endoplasmic reticulum and even the cell membrane,rather than directly related to the synthesis of NO.
Apoptosis	PRODH	proline dehydrogenase 1	ENSG00000100033.17	protein_coding	16619034	PRODH induces apoptosis through the generation of ROS, especially superoxide radicals, via the mitochondrial pathway. It also activates the extrinsic or death receptor pathway to induce cell death. In colorectal cancer cells, PRODH induces the expression of TRAIL and DR5 as well as cleavage of caspase-8. NFAT signaling pathway has a regulatory role in PRODH-mediated TRAIL activation while MEK/ERK signaling pathway is involved.
Apoptosis	PTEN	phosphatase and tensin homolog	ENSG00000171862.14	protein_coding	25394489	PTEN is involved in regulating the expression of Bnip3 and HIF-2¦Á, which induces cell apoptosis and cavity formation. The results of the study suggest a new molecular mechanism for PTEN in promoting apoptosis and lumen formation during epithelial morphogenesis independently of its phosphatase activity. 
Apoptosis	PTGIS	prostaglandin I2 synthase	ENSG00000124212.6	protein_coding	22015457	In the diabetic retina, nitration and inactivation of PTGIS are important mechanisms leading to cell apoptosis and vascular pathology changes.
Apoptosis	SGMS1	sphingomyelin synthase 1	ENSG00000198964.14	protein_coding	15766530	Mats, a protein in the SGMS1 protein family, acts as a tumor suppressor in Drosophila, controlling cell proliferation and apoptosis. Mats works in conjunction with Large tumor suppressor/Warts protein kinase to regulate cell proliferation and apoptosis. Mats physically associates with Warts to stimulate the catalytic activity of the Warts kinase. Loss of Mats function resulted in increased cell proliferation, defective apoptosis, and induction of tissue overgrowth.
Apoptosis	SGPL1	sphingosine-1-phosphate lyase 1	ENSG00000166224.18	protein_coding	14570870	The mechanism of SGPL1 involved in Apoptosis is that SGPL1 increases stress-induced ceramide generation and apoptosis by reducing intracellular S1P. At the same time, enzymatic activity is also a necessary factor in promoting Apoptosis. Overexpression of SGPL1 can increase stress-induced ceramide generation and apoptosis.
Apoptosis	SGPP1	sphingosine-1-phosphate phosphatase 1	ENSG00000126821.8	protein_coding	12815058	SGPP1 participates in Apoptosis by regulating intra- and extracellular S1P levels, thereby affecting cell growth resistance. Knockdown of endogenous SGPP1 causes S1P accumulation, leading to significant resistance to cytotoxic agents and reduced apoptosis.
Apoptosis	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	34987698	SIRT1 participates in apoptosis of nucleus pulposus cells. Apoptosis of intervertebral disc cells caused by mechanical overload is a core cause of intervertebral disc degeneration. The results showed that high-magnitude compression triggers cellular apoptosis and reduces the expression levels of SIRT1 and microtubule-associated protein-1 light chain-3B (LC3B) in rat NPCs. However, SIRT1 overexpression in NPCs partly reduced these indicators. The upregulation of SIRT1 increases the formation of the LC3B/Fas complex, which suppresses NPC apoptosis by inhibiting the NF-¦ÊB pathway under high compressive stress, and reduces activation of the NF-¦ÊB pathway. The study suggests that SIRT1 plays a major role in the regulation of various cellular processes related to oxidative stress, metabolism, cell senescence, apoptosis, and autophagy. 
Apoptosis	TXNDC12	thioredoxin domain containing 12	ENSG00000117862.13	protein_coding	36436687	TXNDC12 exhibits cytoprotective effects against H2O2-induced apoptosis in FHM cells. The overexpression of EaTXNDC12 results in significant cell survival compared with the empty pcDNA3.1(+) with different concentrations of H2O2.
Apoptosis	VNN1	vanin 1	ENSG00000112299.8	protein_coding	27281478	VNN1 attenuates Ox-LDL-induced apoptosis by upregulating p53 expression and downregulating BCL-2 expression.
Apoptosis	CYCS	cytochrome c, somatic	ENSG00000172115.9	protein_coding	34208159	CYCS is an important component of the apoptosome, which initiates the caspase cascade to induce apoptosis. In addition, zinc can negatively regulate the promoter transcriptional activity of CYCS through MTF-1 and HNF-1¦Á, downregulate the mRNA and total protein expression of CYCS.
Apoptosis	GPX4	glutathione peroxidase 4	ENSG00000167468.20	protein_coding	33472669	GPX4 is involved in apoptosis regulation by modulating the mitochondrial pathway. Knockdown of GPX4 downregulates the anti-apoptotic proteins Bcl-2 and Bcl-xl while upregulating the apoptotic proteins Bax and Bim. Moreover, GPX4 induces apoptosis through up-regulation of EGR1 in TNBC cells.
Apoptosis	PLCG1	phospholipase C gamma 1	ENSG00000124181.15	protein_coding	25252913	The researchers found that a recurrent activating mutation in the PLCG gene has a frequency of 30% in patients with primary cardiac angiosarcomas. Experiments on the PLCG1 gene showed that this mutation increases the apoptosis resistance and invasiveness of endothelial cells. In addition, processes such as diabetes, vaccination, oxidative stress can activate the PLCG1 gene and enhance cell survival.
Autophagy_dependent_cell_death	ACLY	ATP citrate lyase	ENSG00000131473.17	protein_coding	24560926	decreased activity of ACLY increases autophagy
Autophagy_dependent_cell_death	ACP2	acid phosphatase 2, lysosomal	ENSG00000134575.13	protein_coding	18690537	increased activity of ACP2 affects autophagic cell death
Autophagy_dependent_cell_death	ACSL1	acyl-CoA synthetase long chain family member 1	ENSG00000151726.16	protein_coding	26220174	decreased activity of ACSL1 decreases autophagy
Autophagy_dependent_cell_death	ARSA	arylsulfatase A	ENSG00000100299.18	protein_coding	8037	increased activity of ARSA affects autophagy
Autophagy_dependent_cell_death	BCKDHA	branched chain keto acid dehydrogenase E1 subunit alpha	ENSG00000248098.12	protein_coding	19049976	increased activity of BCKDHA increases autophagy of Cytoplasm,autophagy of fibroblast cell lines
Autophagy_dependent_cell_death	CAT	catalase	ENSG00000121691.7	protein_coding	21300795	increased activity of CAT decreases autophagy of breast cell lines
Autophagy_dependent_cell_death	CD38	CD38 molecule	ENSG00000004468.13	protein_coding	24445604	decreased activity of CD38 increases accumulation of autophagosomes
Autophagy_dependent_cell_death	COX5A	cytochrome c oxidase subunit 5A	ENSG00000178741.12	protein_coding	20660724	decreased activity of COX5A increases autophagy of brain cancer cell lines
Autophagy_dependent_cell_death	GAA	alpha glucosidase	ENSG00000171298.13	protein_coding	21982629	unknown change in activity of GAA increases macroautophagy of fibroblasts
Autophagy_dependent_cell_death	HMOX1	heme oxygenase 1	ENSG00000100292.18	protein_coding	20705711	increased activity of HMOX1 decreases macroautophagy of cells;increased activity of HMOX1 increases macroautophagy of cells
Autophagy_dependent_cell_death	IDO1	indoleamine 2,3-dioxygenase 1	ENSG00000131203.13	protein_coding	21189261	decreased activity of IDO1 affects autophagy
Autophagy_dependent_cell_death	PRODH	proline dehydrogenase 1	ENSG00000100033.17	protein_coding	26330555	increased activity of LOC102724788/PRODH increases autophagy of neuroblastoma cell lines;decreased activity of LOC102724788/PRODH decreases autophagy of neuroblastoma cell lines
Autophagy_dependent_cell_death	MTMR3	myotubularin related protein 3	ENSG00000100330.16	protein_coding	20059746	decreased activity of MTMR3 affects formation of autophagosomes;decreased activity of MTMR3 affects formation of autophagosomes;increased activity of MTMR3 decreases autophagy of carcinoma cell lines,autophagy of lung cancer cell lines
Autophagy_dependent_cell_death	MTMR3	myotubularin related protein 3	ENSG00000100330.16	protein_coding	26240347	increased activity of MTMR3 decreases autophagy of monocyte-derived macrophages;unknown change in activity of MTMR3 decreases autophagy of monocyte-derived macrophages
Autophagy_dependent_cell_death	NAMPT	nicotinamide phosphoribosyltransferase	ENSG00000105835.13	protein_coding	19661458	decreased activity of NAMPT decreases autophagy of cardiomyocytes,autophagy of Cytoplasm
Autophagy_dependent_cell_death	NEU3	neuraminidase 3	ENSG00000162139.10	protein_coding	23139422	decreased activity of NEU3 decreases autophagy of carcinoma cell lines,autophagy of kidney cancer cell lines
Autophagy_dependent_cell_death	NOS1	nitric oxide synthase 1	ENSG00000089250.20	protein_coding	21726807	increased activity of NOS1 affects formation of autophagosomes
Autophagy_dependent_cell_death	NOS2	nitric oxide synthase 2	ENSG00000007171.19	protein_coding	21726807	increased activity of NOS2 affects formation of autophagosomes
Autophagy_dependent_cell_death	NOS3	nitric oxide synthase 3	ENSG00000164867.11	protein_coding	21726807	increased activity of NOS3 affects formation of autophagosomes
Autophagy_dependent_cell_death	NQO1	NAD(P)H quinone dehydrogenase 1	ENSG00000181019.13	protein_coding	20805228	increased activity of NQO1 decreases autophagy of breast cancer cell lines
Autophagy_dependent_cell_death	OCRL	OCRL inositol polyphosphate-5-phosphatase	ENSG00000122126.18	protein_coding	27398910	decreased activity of OCRL increases accumulation of autophagosomes
Autophagy_dependent_cell_death	PAFAH1B2	platelet activating factor acetylhydrolase 1b catalytic subunit 2	ENSG00000168092.14	protein_coding	22354037	increased activity of PAFAH1B2 increases macroautophagy of cells
Autophagy_dependent_cell_death	PIK3C2A	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 alpha	ENSG00000011405.14	protein_coding	24098492	increased activity of PIK3C2A affects macroautophagy of cells
Autophagy_dependent_cell_death	PIK3C2B	phosphatidylinositol-4-phosphate 3-kinase catalytic subunit type 2 beta	ENSG00000133056.14	protein_coding	24098492	increased activity of PIK3C2B affects macroautophagy of cells
Autophagy_dependent_cell_death	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	ENSG00000078142.14	protein_coding	25578879	increased activity of PIK3C3 affects macroautophagy of cells;decreased activity of PIK3C3 affects formation of autophagosomes
Autophagy_dependent_cell_death	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	ENSG00000078142.14	protein_coding	23332761	increased activity of PIK3C3 affects macroautophagy of cells
Autophagy_dependent_cell_death	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	ENSG00000078142.14	protein_coding	21835792	decreased activity of PIK3C3 decreases autophagy of hepatoma cell lines
Autophagy_dependent_cell_death	PIK3C3	phosphatidylinositol 3-kinase catalytic subunit type 3	ENSG00000078142.14	protein_coding	22592798	decreased activity of PIK3C3 decreases autophagy of CD4+ T-lymphocytes;decreased activity of PIK3C3 decreases autophagy of T lymphocytes
Autophagy_dependent_cell_death	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	ENSG00000121879.6	protein_coding	14627994	increased activity of PIK3CA increases accumulation of autophagic vacuoles
Autophagy_dependent_cell_death	PIK3CA	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit alpha	ENSG00000121879.6	protein_coding	23172887	decreased activity of PIK3CA increases autophagy of carcinoma cell lines,autophagy of lung cancer cell lines
Autophagy_dependent_cell_death	PIK3CB	phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit beta	ENSG00000051382.9	protein_coding	21321382	increased activity of PIK3CB increases autophagy
Autophagy_dependent_cell_death	PIP4K2A	phosphatidylinositol-5-phosphate 4-kinase type 2 alpha	ENSG00000150867.14	protein_coding	25578879	increased activity of PIP4K2A affects autophagy
Autophagy_dependent_cell_death	PIP4K2B	phosphatidylinositol-5-phosphate 4-kinase type 2 beta	ENSG00000276293.5	protein_coding	25578879	increased activity of PIP4K2B affects autophagy
Autophagy_dependent_cell_death	PIP4K2C	phosphatidylinositol-5-phosphate 4-kinase type 2 gamma	ENSG00000166908.18	protein_coding	25578879	increased activity of PIP4K2C affects autophagy
Autophagy_dependent_cell_death	PKM	pyruvate kinase M1/2	ENSG00000067225.21	protein_coding	22236875	increased activity of PKM increases autophagy of fibroblast cell lines
Autophagy_dependent_cell_death	PLA2G4A	phospholipase A2 group IVA	ENSG00000116711.10	protein_coding	22003202	decreased activity of PLA2G4A decreases autophagy of macrophage cancer cell lines;increased activity of PLA2G4A increases autophagy of macrophage cancer cell lines
Autophagy_dependent_cell_death	PLCE1	phospholipase C epsilon 1	ENSG00000138193.17	protein_coding	20147746	increased activity of PLCE1 affects autophagy of cells
Autophagy_dependent_cell_death	PLD1	phospholipase D1	ENSG00000075651.17	protein_coding	21266992	decreased activity of PLD1 affects autophagy
Autophagy_dependent_cell_death	PLD1	phospholipase D1	ENSG00000075651.17	protein_coding	20674539	increased activity of PLD1 increases autophagy of Salmonella typhimurium SL1344
Autophagy_dependent_cell_death	PLD2	phospholipase D2	ENSG00000129219.14	protein_coding	20674539	increased activity of PLD2 increases autophagy of Salmonella typhimurium SL1344
Autophagy_dependent_cell_death	PSAP	prosaposin	ENSG00000197746.15	protein_coding	22949512	increased activity of PSAP affects autophagy
Autophagy_dependent_cell_death	PTEN	phosphatase and tensin homolog	ENSG00000171862.14	protein_coding	11477064	increased activity of PTEN increases macroautophagy of cells
Autophagy_dependent_cell_death	SCD	stearoyl-CoA desaturase	ENSG00000099194.6	protein_coding	25023287	increased activity of SCD increases autophagy of fibroblast cell lines
Autophagy_dependent_cell_death	SDHB	succinate dehydrogenase complex iron sulfur subunit B	ENSG00000117118.10	protein_coding	20660724	decreased activity of SDHB increases autophagy of brain cancer cell lines
Autophagy_dependent_cell_death	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	26157176	decreased activity of SIRT1 decreases autophagy of dendritic cells;decreased activity of SIRT1 decreases autophagy of dendritic cells
Autophagy_dependent_cell_death	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	20096553	decreased activity of SIRT1 decreases autophagy;increased activity of SIRT1 increases autophagy of cells
Autophagy_dependent_cell_death	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	21460857	decreased activity of SIRT1 decreases autophagy of bone cancer cell lines,autophagy of sarcoma cell lines;decreased activity of SIRT1 decreases autophagy of colorectal cancer cell lines;decreased activity of SIRT1 decreases autophagy of cervical cancer cell lines
Autophagy_dependent_cell_death	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	20966076	decreased activity of SIRT1 increases autophagy
Autophagy_dependent_cell_death	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	21189328	increased activity of SIRT1 increases macroautophagy of cells
Autophagy_dependent_cell_death	SIRT1	sirtuin 1	ENSG00000096717.12	protein_coding	18296641	increased activity of SIRT1 increases macroautophagy of cells;increased activity of SIRT1 increases macroautophagy of cells
Autophagy_dependent_cell_death	SIRT2	sirtuin 2	ENSG00000068903.21	protein_coding	20543840	increased activity of SIRT2 decreases autophagy
Autophagy_dependent_cell_death	SIRT6	sirtuin 6	ENSG00000077463.15	protein_coding	24367027	increased activity of SIRT6 increases autophagy of epithelial cell lines,autophagy of lung cell lines;decreased activity of SIRT6 decreases autophagy of epithelial cell lines,autophagy of lung cell lines;decreased activity of SIRT6 decreases autophagy of epithelial cell lines,autophagy of lung cell lines
Autophagy_dependent_cell_death	SMPD1	sphingomyelin phosphodiesterase 1	ENSG00000166311.10	protein_coding	23035115	decreased activity of SMPD1 decreases autophagy of leukemia cell lines
Autophagy_dependent_cell_death	SMYD3	SET and MYND domain containing 3	ENSG00000185420.19	protein_coding	20660724	decreased activity of SMYD3 decreases autophagy of brain cancer cell lines
Autophagy_dependent_cell_death	SOAT1	sterol O-acyltransferase 1	ENSG00000057252.13	protein_coding	25339759	decreased activity of SOAT1 increases formation of autophagosomes;decreased activity of SOAT1 increases formation of autophagosomes
Autophagy_dependent_cell_death	SPHK1	sphingosine kinase 1	ENSG00000176170.14	protein_coding	16415355	increased activity of SPHK1 increases formation of autophagosomes;decreased activity of SPHK1 decreases autophagy of breast cancer cell lines;increased activity of SPHK1 increases autophagy of breast cancer cell lines
Autophagy_dependent_cell_death	SPTLC1	serine palmitoyltransferase long chain base subunit 1	ENSG00000090054.16	protein_coding	25332431	increased activity of SPTLC1 increases autophagy of liver cells
Autophagy_dependent_cell_death	SPTLC2	serine palmitoyltransferase long chain base subunit 2	ENSG00000100596.8	protein_coding	25332431	increased activity of SPTLC2 increases autophagy of liver cells
Autophagy_dependent_cell_death	TCIRG1	T cell immune regulator 1, ATPase H+ transporting V0 subunit a3	ENSG00000110719.11	protein_coding	23704209	increased activity of TCIRG1 affects macroautophagy of cells
Autophagy_dependent_cell_death	TIGAR	TP53 induced glycolysis regulatory phosphatase	ENSG00000078237.7	protein_coding	20303758	increased activity of TIGAR decreases autophagy
Autophagy_dependent_cell_death	MIR506	microRNA 506	ENSG00000207731.1	miRNA	28121485	MIR506 induces autophagy-related cell death in pancreatic cancer by targeting the STAT3 pathway. The study found that MIR506 downregulation significantly correlates with disease progression in PDAC and that its expression is associated with a patient's overall survival rate. The results from this study identified MIR506 as a new tumor suppressor in PDAC by inducing autophagy-related cell death through the STAT3 pathway.
Autophagy_dependent_cell_death	MIR100	microRNA 100	ENSG00000207994.1	miRNA	29208678	MIR100 can promote autophagy in endothelial cells by regulating mTOR and Raptor and interacting directly with the transcription factor TFEB. MIR100 enhances autophagy while reducing IKK¦Â kinase protein expression, leading to a decrease in NF-¦ÊB p65 subunit expression. Bafilomycin, an autophagy inhibitor, interferes with the anti-inflammatory effects of MIR100 on IKK¦Â kinase signaling by mTOR inhibition, suggesting that the anti-inflammatory effects of MIR100 depend on autophagy in endothelial cells.
Autophagy_dependent_cell_death	MIR132	microRNA 132	ENSG00000267200.1	miRNA	23011132	MIR132 plays an anti-autophagic role in the process of cardiomyocyte autophagy. Studies show that overexpression of miR-212/132 family can reduce the autophagic response of cardiomyocytes, leading to cardiac hypertrophy and heart failure. Pharmacological inhibition of MIR132 can rescue cardiac hypertrophy and heart failure, providing a new therapeutic target for the treatment of heart failure.
Autophagy_dependent_cell_death	MIR137	microRNA 137	ENSG00000284202.1	miRNA	30710750	MIR137 has been found to inhibit autophagy and enhance the sensitivity of pancreatic cancer cells to chemotherapy drugs, and negatively regulate the formation of autophagy by targeting ATG5. Autophagy is a process by which cellular components are broken down and recycled for cellular biosynthesis, which can protect cancer cells from stressful conditions and contribute to chemoresistance. MIR137 can inhibit mitophagy, the selective degradation of mitochondria, via regulation of two receptors.
Autophagy_dependent_cell_death	MIR140	microRNA 140	ENSG00000208017.3	miRNA	29488053	MIR140 is involved in mediating chondrocyte growth, apoptosis, and autophagy by regulating cellular autophagy levels.In human primary chondrocytes, MIR140 promotes cell autophagy activity via regulating FUT1. The results suggest that MIR140/149 mimic transfection activates mitochondrial/endogenous autophagy pathways, while inhibiting MIR140/149 suppresses chondrocyte autophagy activity.
