ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction
EL0235	AFAP1-AS1	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Disease diagnosis	colorectal cancer	Cancer	N/A	N/A	knockdown	subcutaneous mouse xenograft model system	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AFAP1-AS1 |bind|EZH2 |promote| colorectal cancer	29888110	2018	Long noncoding RNA AFAP1-AS1 facilitates tumor growth through enhancer of zeste homolog 2 in colorectal cancer.
EL0235	AFAP1-AS1	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Promote disease	gastric cancer	Cancer	N/A	N/A	Knockdown, qRT-PCR, western blot, ChIP, RIP	GC tissues, GC cells (SGC-7901 and AGS cells)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	AFAP1-AS1丨bind to丨EZH2.	32016968	2020	LncRNA AFAP1-AS1 accelerates the proliferative and migratory abilities of GC cells by downregulating the expression of KLF2, thus promoting the progression of GC.
EL0235	AFAP1-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Disease treatment	pre-eclampsia	Others	N/A	N/A	knockdown	lens epithelial cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AFAP1-AS1|bind|EZH2|downregulate|DUSP5|promote| cell proliferation and migration in pre-eclampsia	34192359	2021	silencing of AFAP1-AS1 LncRNA impairs cell proliferation and migration by epigenetically promoting DUSP5 expression in pre-eclampsia.AFAP1-AS1 interacts with EZH2 and inhibits DUSP5 expression through modulating H3K27m3 in the DUSP5 promoter of trophoblast cells, thus being involved in PE pathogenesis.
EL0238	AGAP2-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Promote disease	lung cancer	Cancer	N/A	N/A	knockdown	human NSCLC tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AGAP2-AS1丨bind丨EZH2 and LSD1 | downregulate丨LATS2/KLF2 Expression丨promote丨Non-Small-Cell Lung Cancer	27195672	2016	AGAP2-AS1 may act as an oncogene by repressing tumor-suppressor LATS2 and KLF2 transcription.
EL0238	AGAP2-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Promote disease	gastric cancer	Cancer	N/A	N/A	qRT-PCR, RIP	normal tissues, GC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AGAP2-AS1丨bind丨LSD1 / EZH2丨downregulate| P22/ E-cadherin|promote|NSCLC	28209205	2017	The lncRNA AGAP2-AS1 was identified as an oncogenic lncRNA in human non-small cell lung cancer (NSCLC).
EL0238	AGAP2-AS1	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Promote disease	pancreatic cancer	Cancer	N/A	N/A	qRT-PCR, overexpression, FISH, RIP, ChIP	PC tissues	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AGAP2-AS1丨bind丨EZH2丨downregulate丨 expression of ANKRD1 /ANGPTL4丨promote丨PC proliferation and metastasis	30814490	2019	RREB1-induced upregulation of the lncRNA AGAP2-AS1 regulates the proliferation and migration of pancreatic cancer partly through suppressing ANKRD1 and ANGPTL4.
EL0238	AGAP2-AS1	Homo sapiens	Disease-relevant functions	N/A	Recruiting protein complexes	Disease diagnosis	glioblastoma	Cancer	N/A	N/A	knockdown, overexpression	GBM tissues and cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	AGAP2-AS1丨bind丨EZH2 and LSD1丨downregulate丨TFPI2 丨promote丨glioblastoma	31186379	2019	Long non-coding RNA AGAP2-AS1 exerts oncogenic properties in glioblastoma by epigenetically silencing TFPI2 through EZH2 and LSD1.
EL0249	AIRN	Homo sapiens	Cell proliferation	N/A	Recruiting protein complexes	Therapeutic target	liver fibrosis	Others	N/A	N/A	qRT-PCR, ChIP, RIP, RNA Pull-down, gain- and loss-of functions assays	human fibrotic livers and serums	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	Airn|bind|EZH2|regulate|KLF2-eNOS-sGC pathway|promote| HC proliferation	36171606	2022	LncRNA Airn maintains LSEC differentiation to alleviate liver fibrosis via the KLF2-eNOS-sGC pathway.
EL0290	AK044604	Homo sapiens	Autophagy	Cytoplasm	Regulate the expression of proteins	Promote disease	podocyte injury in diabetic nephropathy	Others	N/A	N/A	qRT-PCR, Western blot	DN mice	N/A	up-regulated	interaction	SIRT1	Regulate	down-regulated	lncRNA-Protein	regulation	AK044604|downregulate|Sirt1|upregulate|GSK3β|promote|podocyte injury in diabetic nephropathy	35614465	2022	LncRNA AK044604 could inhibit autophagy by regulating the Sirt1/GSK3β axis, thereby aggravating podocyte injury in DN
EL0382	AL355338	Homo sapiens	Metabolic	N/A	Gene regulation	Therapeutic target	non-small cell lung cancer	Cancer	N/A	N/A	qRT-PCR, Western blot	Non-small cell lung cancer cells	N/A	up-regulated	interaction	ENO1	Regulate	down-regulated	lncRNA-Protein	binding	AL355338|bind|ENO1|upregulate| EGFR/AKT pathway |promote| NSCLC.	34627260	2021	AL355338 acts as an oncogenic LncRNA by interacting with protein ENO1 to regulate EGFR/AKT pathway in NSCLC.
EL0433	ALOX12-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	N/A	N/A	N/A	N/A	N/A	FISH	monocytic THP-1 cells	N/A	up-regulated	interaction	ALOX12	Regulate	down-regulated	lncRNA-Protein	regulation	ALOX12-AS1|downregulate|ALOX12 |promote| form an antisense-sense duplex providing the basis of a novel ALOX12 regulatory mechanism	34174394	2021	the uncharacterized ALOX12-AS1 long non-coding RNA (lncRNA) may bind to the sense coding ALOX12 mRNA to form an antisense-sense duplex providing the basis of a novel ALOX12 regulatory mechanism
EL0492	ARAP1-AS1	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Metastasis	cervical cancer	Cancer	N/A	N/A	knockdown	cervical cancer cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	ARAP1-AS1|bind|EZH2|upregulate|DUSP5|promote|cervical cancer	32985327	2020	mechanism experiments proved that ARAP1-AS1 recruited enhancer of zeste 2 polycomb repressive complex 2 subunit (EZH2) to regulate DUSP5 expression. Finally, rescue assays certified the oncogenic function of ARAP1-AS1/EZH2/DUSP5 axis in cervical cancer.
EL0492	ARAP1-AS1	Homo sapiens	Disease-relevant functions	Nucleus	Recruiting protein complexes	Therapeutic target	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, Luciferase reporter assays, RIP	two LUAD cell lines (H1975 and A549), a normal human bronchial epithelial cell line BEAS-2B	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	ARAP1-AS1| bind | EZH2 | downregulate | ARAP1 | promote | cell proliferation, migration and invasion in LUAD	35291911	2022	ARAP1-AS1 recruited EZH2 to silence ARAP1, facilitating cell proliferation, migration and invasion in LUAD
EL0690	BANCR	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Inhibit disease	papillary thyroid carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown, RIP	PTC tissue, cell line (IHH-4)	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	silencing BANCR丨led to丨decreased chromatin recruitment of EZH2丨resulted丨reduced expression of TSHR	26323637	2016	The expression of BANCR was significantly up-regulated while PTCSC3 and NAMA were significantly down-regulated in papillary thyroid carcinoma (PTC) compared to that in normal tissue. BANCR-knockdown in a PTC-derived cell line (IHH-4) resulted in significant suppression of thyroid stimulating hormone receptor (TSHR). BANCR-knockdown also led to inhibition of cell growth and cell cycle arrest at G0/G1 phase through down-regulation of cyclin D1. In addition, BANCR was enriched by polycomb enhancer of zeste homolog 2 (EZH2), and silencing BANCR led to decreased chromatin recruitment of EZH2, which resulted significantly reduced expression of TSHR.
EL0699	BC009639	Homo sapiens	EMT	N/A	Recruiting protein complexes	Promote disease	lung adenocarcinoma	Cancer	EGFR-tyrosine kinase inhibitors	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	lung cancer cells	N/A	up-regulated	interaction	IMPAD1	Regulate	down-regulated	lncRNA-Protein	regulation	BC009639 |regulate| IMPAD1 alternative splicing |promote| lung adenocarcinoma progression	36650118	2023	BC promotes lung adenocarcinoma progression by modulating IMPAD1 alternative splicing
EL0730	BCYRN1	Homo sapiens	Cell Differentiation	N/A	Gene regulation	Promote disease	esophageal squamous cell cancer	Cancer	N/A	N/A	qRT-PCR, Western blot	normal esophageal squamous epithelial cells, ESCC cells, xenograft mouse mode	N/A	up-regulated	interaction	PSAT1	Regulate	down-regulated	lncRNA-Protein	regulation	BC200|downregulate|PSAT1|promote| the metastasis of ESCC cells	32974142	2020	BC200 promoted the metastasis of ESCC cells and could regulate the expression of ATF4 and its downstream genes.
EL0734	BDNF-AS	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	alcohol use disorder	Others	N/A	N/A	qRT-PCR, Knockdown, western blot, RIP, RNA pull-down, dual-luciferase reporter	postmortem amygdala of either early onset or late onset alcoholics (individuals who began drinking before or after 21 years of age, respectively) and age-matched control subjects.	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Upregulation of BDNF-AS丨associated with丨a significant decrease丨in丨BDNF expression and increased recruitment of EZH2丨deposits丨repressive H3K27 trimethylation (H3K27me3) 丨in the BDNF gene	30728347	2019	In the early onset AUD group.
EL0734	BDNF-AS	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Disease diagnosis	colorectal cancer	Cancer	N/A	N/A	qRT-PCR, western blot, RNA pull-down, RIP, ChIP	CRC tissues and cell lines	N/A	down-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	lncRNA BDNF-AS丨functioned as丨a tumour suppressor丨in丨CRC progression丨by丨suppressing丨GSK-3β expression丨through丨binding to丨EZH2 and H3K27me3丨with丨the GSK-3β promoter	31062382	2019	BDNF-AS functioned as a tumour suppressor in CRC progression by suppressing GSK-3β expression through binding to EZH2 and H3K27me3 with the GSK-3β promoter, shedding light on the diagnosis and therapy for CRC.
EL0742	BGLT3	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease treatment	papillary thyroid carcinoma	Cancer	N/A	N/A	qRT-PCR, RNA Pull-down, overexpression, Luciferase reporter assays, ChIP	PTC cells	N/A	down-regulated	interaction	PTEN	Regulate	up-regulated	lncRNA-Protein	regulation	BGL3|upregulate|PTEN| inhibit| papillary thyroid carcinoma progression	33543443	2021	BGL3 inhibits papillary thyroid carcinoma progression via regulating PTEN stability
EL0748	BLACAT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	prostate cancer	Cancer	N/A	N/A	luciferase assay, RIP, ChIP, qRT-PCR	prostate cancer cell lines	N/A	down-regulated	interaction	DNMT1	Regulate	up-regulated	lncRNA-Protein	binding	BLACAT1丨bind丨EZH2/DNMT1 /HDAC3|inhibit|prostate cancer	31957820	2020	Long non-coding RNA BLACAT1 inhibits prostate cancer cell proliferation through sponging miR-361.
EL0748	BLACAT1	Homo sapiens	Disease-relevant functions	N/A	Transcription regulation	Disease diagnosis	esophageal squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, western blot, luciferase assay	esophageal squamous cell carcinoma tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	Long noncoding RNA linc-UBC1丨promotes丨tumor invasion and metastasis丨by丨regulating丨EZH2丨 repressing丨E-cadherin丨in esophageal squamous cell carcinoma	29552776	2018	Knockdown of linc-UBC1 could suppress the protein level of EZH2 and promote the protein level of E-cadherin.
EL0748	BLACAT1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	prostate cancer	Cancer	N/A	N/A	luciferase assay, RIP, ChIP, qRT-PCR	prostate cancer cell lines	N/A	down-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	BLACAT1丨bind丨EZH2/DNMT1 /HDAC3|inhibit|prostate cancer	31957820	2020	Long non-coding RNA BLACAT1 inhibits prostate cancer cell proliferation through sponging miR-361.
EL0748	BLACAT1	Homo sapiens	Proliferation	N/A	Gene regulation	Inhibit disease	pancreatic cancer	Cancer	N/A	N/A	knockdown	PC cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	BLACAT1|bind| EZH2| promote|Proliferation, Migration and Aerobic Glycolysis of Pancreatic Cancer Cells	33072570	2020	LncRNA-BLACAT1 Facilitates Proliferation, Migration and Aerobic Glycolysis of Pancreatic Cancer Cells by Repressing CDKN1C via EZH2-Induced H3K27me3.
EL0797	C20orf204	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Therapeutic target	ovarian cancer	Cancer	N/A	N/A	Knockdown,qRT-PCR,dual-luciferase reporter gene assay, ChIP,RIP	ovarian cancer tissues, ovarian cancer cell lines	N/A	up-regulated	interaction	CP	Regulate	N/A	lncRNA-DNA	binding	LINC00176 and promoter region of CP丨turned out丨to be positive丨via丨BCL3丨by丨means of dual-luciferase reporter gene assay, ChIP and RIP assays	31668012	2020	restored LINC00176 initiates tumorigenesis in ovarian cancer by increasing CP expression via recruiting BCL3, the mechanism of which represented a potential and promising therapeutic target for the disease.
EL0814	CACNA1G-AS1	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease diagnosis	colorectal cancer	Cancer	N/A	N/A	qRT-PCR, western blot, RIP, ChIP, knockdown	HCT116 and SW480 cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	CACNA1G-AS1丨interact with丨EZH2	31957825	2020	CACNA1G-AS1 downregulates p53 level by forming a carcinogenic complex with EZH2, thereby enhancing the proliferative and invasive abilities of CRC cells.
EL0816	CACS15	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Disease diagnosis	ovarian cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, ChIP	OC cells	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	CACS15丨distributed丨in丨cytoplasm of OC cells丨interacted with丨EZH2丨at post-transcriptional level	31737207	2019	LncRNA CACS15 accelerates the malignant progression of ovarian cancer through stimulating EZH2-induced inhibition of APC.
EL0820	CAHM	Homo sapiens	Cell proliferation	N/A	Transcription regulation	Inhibit disease	glioma	Cancer	N/A	N/A	overexpression	glioma cells	N/A	down-regulated	interaction	DNMT1	Regulated	up-regulated	lncRNA-Protein	regulation	DNMT1|mediate|CAHM hypermethylation	34227028	2022	CAHM is hypermethylated by DNMT1.
EL0820	CAHM	Homo sapiens	Disease-relevant functions	Cytoplasm	Gene regulation	Disease treatment	glioma	Cancer	N/A	N/A	qRT-PCR, knockdown, overexpression, Luciferase reporter assays	glioma samples	N/A	down-regulated	interaction	DNMT1	Regulated	up-regulated	lncRNA-Protein	regulation	CAHM|hypermethylated|DNMT1|reversed 5-Aza|through SPAK/MAPK pathway|suppress |glioma	34227028	2022	CAHM is hypermethylated by DNA methyltransferase1 (DNMT1) and the loss of CAHM expression could be reversed by 5-Aza-2'-deoxycytidine (5-Aza), a specific inhibitor of DNA methyltransferases and CAHM overexpression suppressed glioma migration and invasion through SPAK/MAPK pathway.
EL0840	CASC11	Homo sapiens	EMT	N/A	Signaling pathways regulation	Promote disease	hepatocellular carcinoma	Cancer	N/A	N/A	overexpression, knockdown, Loss of function	HCC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	CASC11丨activated丨by丨the transcription factor STAT3	30503497	2019	STAT3-induced upregulation of lncRNA CASC11 promotes the cell migration, invasion and epithelial-mesenchymal transition in hepatocellular carcinoma by epigenetically silencing PTEN and activating PI3K/AKT signaling pathway.
EL0842	CASC15	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Promote disease	melanoma	Cancer	N/A	N/A	knockdown, Overexpression	melanoma tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	CASC15 丨silenced丨the expression of programmed cell death 4 (PDCD4)丨by丨recruiting丨EZH2丨increasing丨 H3K27me3 level丨at the promoter region of PDCD4	30013768	2018	Long non-coding RNA CASC15 promotes melanoma progression by epigenetically regulating PDCD4.
EL0852	CASC9	Homo sapiens	Cell proliferation	N/A	Gene regulation	Disease diagnosis	esophageal squamous cell carcinoma	Cancer	N/A	N/A	qRT-PCR, FISH, RIP, RNA pull down,ChIP, knockdown	esophageal squamous cell	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	lncRNA CASC9丨functions as丨an oncogene丨by丨negatively regulating丨PDCD4 expression丨through丨recruiting丨EZH2丨altering丨H3K27me3 level	28854977	2017	Up-regulation of lncRNA CASC9 promotes esophageal squamous cell carcinoma growth by negatively regulating PDCD4 expression through EZH2
EL0852	CASC9	Homo sapiens	Disease-relevant functions	N/A	Signaling pathways regulation	Promote disease	bladder cancer	Cancer	N/A	N/A	qRT-PCR, Knockdown, Western blot, RIP, chIP	BC tissues and cell lines	N/A	up-regulated	interaction	EZH2	Regulated	down-regulated	lncRNA-Protein	binding	CASC9 | bind | EZH2 | upregulate| PTEN | promote| the progression of BC	32982303	2020	Upregulation of CASC9 induced by STAT3 promoted the progression of BC by interacting with EZH2 and affecting the expression of PTEN, representing a novel regulatory mechanism for BC progression.
EL0862	CBR3-AS1	Homo sapiens	hair follicle stem cell differentiation	N/A	Chromatin regulation	N/A	N/A	N/A	N/A	N/A	qRT-PCR, overexpression, RNA pull-down	hair follicle stem cells	N/A	up-regulated	interaction	EZH2	Regulate	up-regulated	lncRNA-Protein	binding	PlncRNA-1|bind|EZH2	34989071	2022	PlncRNA-1 stimulates hair follicle stem cell differentiation in wound healing via the EZH2/ZEB1/MAPK1 axis.
EL0862	CBR3-AS1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Therapeutic target	prostate cancer	Cancer	N/A	N/A	knockdown	PCa tissues	N/A	up-regulated	interaction	PTEN	Regulate	down-regulated	lncRNA-Protein	regulation	PlncRNA-1|downregulate|promote|the progression of prostate Cancer	33848262	2021	LncRNA PlncRNA-1 accelerates the progression of prostate Cancer by regulating PTEN/Akt axis
EL0865	CCAT1	Homo sapiens	OXA resistance	N/A	Recruiting protein complexes	Therapeutic target	colorectal cancer	Cancer	oxaliplatin, ration	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	SW480 cells	N/A	up-regulated	interaction	DNMT1	Regulate	down-regulated	lncRNA-Protein	binding	CCAT1|bind|DNMT1|downregulate|SOCS3|promote|chemoresistance in colorectal cancer	36812959	2023	B-MYB transcriptionally activated CCAT1, which recruited DNMT1 to inhibit SOCS3 expression through elevating the SOCS3 promoter methylation. By this mechanism, the resistance of CRC cells to OXA was enhanced.
EL0868	CCAT2	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Therapeutic target	gastric cancer	Cancer	N/A	N/A	qRT-PCR, knockdown	gastric cancer cells, adjacent non-tumor tissues	N/A	up-regulated	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	CCAT2丨interacted with丨EZH2丨regulated丨the E-cadherin and LATS2 expression	27904778	2016	CCAT2 functioned as an oncogene in GC and was involved in gastric cancer progression. Targeting CCAT2 might be a potential therapeutic target for GC.
EL0868	CCAT2	Homo sapiens	Cell proliferation	N/A	Gene regulation	Therapeutic target	breast cancer	Cancer	N/A	N/A	qRT-PCR, RIP, ChIP, knockdown	The tumor xenograft nude mice	N/A	differential expression	interaction	EZH2	Regulate	N/A	lncRNA-Protein	binding	CCAT2丨suppressed丨the p15 expression level丨via丨interacting with丨EZH2 in breast cancer cells	28531944	2017	Upregulation of CCAT2 promotes cell proliferation by repressing the P15 in breast cancer.
EL0907	CDKN2B-AS1	Homo sapiens	Haematopoiesis and immune responses	N/A	Gene regulation	Disease diagnosis	atherosclerosis	Others	N/A	N/A	Overexpression, knockdown	atherosclerotic plaque tissues and THP-1 macrophage-derived foam cells, mouse model	N/A	down-regulated	interaction	DNMT1	Regulate	N/A	lncRNA-Protein	binding	CDKN2B-AS1丨bind to丨DNA methyltransferase 1 (DNMT1)丨to丨enhance丨methylation of ADAM12 promoter丨leading to丨suppressed丨atherosclerotic inflammatory response and promoted cholesterol efflux	30926762	2019	Ong non-coding RNA CDKN2B-AS1 reduces inflammatory response and promotes cholesterol efflux in atherosclerosis by inhibiting ADAM10 expression.
EL0907	CDKN2B-AS1	Homo sapiens	apoptosis and inflammation in vitro	N/A	Recruiting protein complexes	Therapeutic target	childhood asthma	Others	OVA, LPS	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	asthma mice model	N/A	down-regulated	interaction	DNMT1	Regulate	up-regulated	lncRNA-Protein	binding	CDKN2B-AS1|bind|DNMT1|downregulate|ZFP36|downregulate|NR4A1|promote|Childhood Asthma	36422840	2023	CDKN2B-AS1 inhibited ZFP36 expression by recruiting DNMT1 to promote ZFP36 promoter methylation.ZFP36 overexpression facilitated apoptosis, inflammation, and p-p65 expression in BEAS-2B cells, while NR4A1 knockdown reversed these effects.
