ID	LncRNA name	Species	Biological processes	Cellular component	Molecular fucntions	Clinical applications	Disease	Disease category	drug Resistance/chemoresistance/stress	Mutation	Methods	Sample	Organoid	Expression pattern	Function type	Interaction target	Mode of interaction	Expression pattern of Interaction target	Level of interaction	Type of interaction	Detailed Pathway	PMID	Year	Description of disease/function/interaction	Matches
EL0060	ABHD11-AS1	Homo sapiens	Apoptosis , Cell proliferation	N/A	Sponging miRNAs	Disease treatment	cervical cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression	cervical cancer cells	N/A	up-regulated	interaction	miR-330-5p	Regulate	down-regulated	lncRNA-miRNA	binding	ABHD11-AS1 |bind|miR-330-5p|upregulate| MARK2|promote|the progression of cervical cancer	34793775	2022	Long non-coding RNA ABHD11-AS1 facilitates the progression of cervical cancer by competitively binding to miR-330-5p and upregulating MARK2.	
EL0060	ABHD11-AS1	Homo sapiens	Cell proliferation	Cytoplasm	Sponging miRNAs	Therapeutic target	gastric cancer	Cancer	N/A	N/A	qRT-PCR, RNA Pull-down, RIP, Luciferase reporter assays, Western blot	gastric cancer tissue, MGC-803, BGC-823, SGC-7901, MKN28, AGC cells, xenograft mice model	N/A	up-regulated	interaction	miR-361-3p	Regulate	down-regulated	lncRNA-miRNA	binding	ABHD11-AS1 | bind |miR-361-3p|upregulate| PDPK2 | promote | GC cell proliferation	32678870	2020	ABHD11-AS1 cooperated with miR-361-3p to modulate PDPK2 mRNA and protein levels. Rescue assays confirmed that the miR-361-3p silence reversed the suppressive effect of ABHD11-AS1 deficiency. In summary, ABHD11-AS1 boosts GC development by regulating miR-361-3p/PDPK1 signalling.	
EL0064	ABTB1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	non-small cell lung cancer	Cancer	N/A	N/A	qRT-PCR	non-small cell lung cancer cell lines	N/A	up-regulated	interaction	miR-150-5p	Regulate	down-regulated	lncRNA-miRNA	binding	ABTB1 , NPTN|bind|miR-150-5p, SERPINE1 |promote|NSCLC	34868237	2021	LncRNAs ABTB1 and NPTN with the hsa-miR-150-5p and mRNA SERPINE1 were significantly associated with resistance to EGFR-TKIs and survival in NSCLC.	
EL0071	AC005224.4	Homo sapiens	EMT	N/A	Sponging miRNAs	Therapeutic target	ovarian cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	ovarian cancer cells	N/A	up-regulated	interaction	miR-140-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC005224.4|bind|miR-140-3p|bind|SNAI2|promote|ovarian cancer	36939239	2023	SNAI2 was identified as a novel target of miR-140-3p and its expression level was promoted by either AC005224.4 overexpression or miR-140-3p knockdown. Overexpression of SNAI2 also facilitated ovarian cancer cell viability and metastasis.	
EL0072	AC005332.7	Homo sapiens	Ferroptosis	N/A	Sponging miRNAs	Inhibit disease	acute myocardial infarction	Others	N/A	N/A	qRT-PCR, Western blot, RNA pull-down	a mice model of AMI	N/A	down-regulated	interaction	miR-331-3p	Regulate	up-regulated	lncRNA-miRNA	binding	AC005332.7|bind|miR-331-3p|bind|CCND2|inhibite|Acute Myocardial Infarction	36914604	2023	lncRNA AC005332.7 Inhibited Ferroptosis to Alleviate Acute Myocardial Infarction Through Regulating miR-331-3p/CCND2 Axis.	
EL0080	AC007207.2	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Therapeutic target	osteosarcoma	Cancer	N/A	N/A	qRT-PCR	osteosarcoma cells	N/A	up-regulated	interaction	miR-1306-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AC007207.2|bind|miR-1306-5p|upregulate|SIRT7|promote| OS	34584454	2021	LncRNA AC007207.2/miR-1306-5p/SIRT7 axis is a promising therapeutic target for OS treatment.	
EL0084	AC008	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Therapeutic target	osteoarthritis	Others	N/A	N/A	knockdown, overexpression	osteoarthritis cells	N/A	up-regulated	interaction	miR-328-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC008 |bind| miR-328-3p|upregulate|AQP1/ANKH |promote| osteoarthritis progression	34737423	2021	m(6)A-mediated upregulation of AC008 promotes osteoarthritis progression through the miR-328-3p‒AQP1/ANKH axis.	
EL0086	AC008972.1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Disease treatment	prostate cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	prostate cells	N/A	up-regulated	interaction	miR-143-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC008972.1 |bind| miR-143-3p|upregulate |TAOK2 |promote|prostate cancer cell growth	36094409	2022	Knockdown of lncRNA AC008972.1 inhibits prostate cancer cell growth via downregulation of TAOK2 induced by miR-143-3p	
EL0088	AC009022.1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	colorectal cancer	Cancer	N/A	N/A	qRT-PCR,western blot,Luciferase reporter gene assay,knockdown,mimics	CRC tissues and matched normal tissues	N/A	up-regulated	interaction	miR-497-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AC009022.1丨bind| miR-497-5p|upregulate丨ACTR3B expression丨promote丨colorectal cancer	31637768	2020	AC009022.1 enhanced CRC cell proliferation, migration, and invasion by promoting ACTR3B expression via suppressing miR-497-5p.	
EL0089	AC009948.5	Homo sapiens	cell proliferation, tumor growth, metastasis, EMT	N/A	Sponging miRNAs	Therapeutic target	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown	LUAD tissues and cells	N/A	up-regulated	interaction	miR-186-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AC009948.5 | bind | miR-186-5p | upregulate | NCAPG2 | promote | lung adenocarcinoma	36059662	2022	LncRNA-AC009948.5 promotes lung adenocarcinoma cells metastasis via the miR-186-5p/NCAPG2 axis and activation of the EMT process.	
EL0090	AC009951.1	Homo sapiens	Disease-relevant functions	N/A	Gene regulation	Disease diagnosis	osteosarcoma	Cancer	N/A	N/A	qRT-PCR	N/A	N/A	differential expression	interaction	miR-323b-3p	Regulate	N/A	lncRNA-RNA	regulation	TGFBR3丨regulated丨by丨miR-323b-3p丨acts as丨a tumor suppressor丨in丨OS tumorigenesis丨and丨acts as丨a tumor promoter丨in丨pulmonary metastatic OS丨via丨activation丨of丨EMT program	29991755	2018	Deep RNA sequencing reveals the dynamic regulation of miRNA, lncRNAs, and mRNAs in osteosarcoma tumorigenesis and pulmonary metastasis.	
EL0094	AC010198.2	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Promote disease	cervical cancer	Cancer	cisplatin	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	Cervical cancer cells	N/A	up-regulated	interaction	miR-34b-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC010198.2|bind|miR-34b-3p|regulate|STC2|peomott| CC cisplatin (DDP) resistance	34641878	2021	AC010198.2/miR-34b-3p/STC2 may be a key pathway for DDP resistance in CC cells.	
EL0096	AC010789.1	Homo sapiens	Cell Differentiation	N/A	Decoy for hijacking proteins	Therapeutic target	androgen alopecia	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	HFSC isolated from hair follicles of patients with AGA	N/A	up-regulated	interaction	miR-21-5p	Regulate	down-regulated	lncRNA-miRNA	regulation	AC010789.1| downregulate|has-miR-21-5p| promote| Wnt/β-catenin signaling pathway	35242164	2022	These results reveal that overexpression of AC010789.1 suppresses AGA progression via downregulation of hsa-miR-21-5p and TGF-β1 and promotion of the Wnt/β-catenin signaling pathway	
EL0096	AC010789.1	Homo sapiens	Cell proliferation	N/A	Signaling pathways regulation	Disease treatment	colorectal cancer	Cancer	N/A	N/A	knockdown	CRC cells	N/A	up-regulated	interaction	miR-432-3p	Regulate	down-regulated	lncRNA-miRNA	regulation	LncRNA AC010789.1|downregulate|MicroRNA-432-3p/ZEB1 Axis , the Wnt/β-Catenin Signaling Pathway|promote|Colorectal Cancer Progression	33178684	2020	LncRNA AC010789.1 Promotes Colorectal Cancer Progression by Targeting MicroRNA-432-3p/ZEB1 Axis and the Wnt/β-Catenin Signaling Pathway.	
EL0107	AC012668	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	nonalcoholic fatty liver disease	Others	N/A	N/A	RNA Pull-down, knockdown, Western blot, overexpression, Luciferase reporter assays	NAFLD cell model	N/A	down-regulated	interaction	miR-380-5p	Regulate	up-regulated	lncRNA-miRNA	binding	AC012668|bind|miR-380-5p |upregulate|LRP2|inhibit| non-alcoholic fatty liver disease	34511037	2021	Long non-coding RNA AC012668 suppresses non-alcoholic fatty liver disease by competing for microRNA miR-380-5p with lipoprotein-related protein LRP2.	
EL0111	AC016405.3	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Inhibit disease	glioblastoma multiforme	Cancer	N/A	N/A	overexpression, gain of function experiment, western blot	GBM tissue specimens and cell lines	N/A	down-regulated	interaction	miR-19a-5p	Regulate	N/A	lncRNA-RNA	regulation	AC016405.3丨suppressed丨proliferation丨and丨metastasis丨through丨modulation of丨TET2丨by丨sponging of丨miR-19a-5p丨in丨GBM cells	30888082	2019	AC016405.3, a novel long noncoding RNA, acts as a tumor suppressor through modulation of TET2 by microRNA-19a-5p sponging in glioblastoma.	
EL0111	AC016405.3	Homo sapiens	Cell proliferation	Cytoplasm	Sponging miRNAs	Therapeutic target	breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays, FISH, RIP	BRCA cells	N/A	up-regulated	interaction	miR-22-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC016405.3|bind|miR-22-3p|downregulate|ERBB3|promote|breast cancer	34403532	2021	AC016405.3 functions as an oncogenic long non-coding RNA by regulating ERBB3 via sponging miR-22-3p in breast cancer.	
EL0120	AC022784.1	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR	lung adenocarcinoma cells	N/A	up-regulated	interaction	miR-1252-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AL161431.1 |bind| miR-1252-5p|promkote|LUAD	34486476	2021	AL161431.1 might exert a ‘sponge-like’ function by binding with miR-1252-5p	
EL0132	AC027031.2	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	anaplastic thyroid carcinoma	Cancer	N/A	N/A	qRT-PCR, knockdown	ATC samples , PTC samples and normal samples	N/A	up-regulated	interaction	miR-124-3p	Regulate	down-regulated	lncRNA-miRNA	binding	RP11-395G23.3 | bind | miR-124-3p | upregulate | ROP1 expression | rescue | inhibitor in ATC cells	34421987	2021	RP11-395G23.3 Acts as a Competing Endogenous RNA of miR-124-3p to Regulate ROR1 in Anaplastic Thyroid Carcinoma	
EL0132	AC027031.2	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease diagnosis	endometrial cancer	Cancer	N/A	N/A	qRT-PCR, western blot, overexpression, Luciferase reporter assays	endometrial cancer (EC)	N/A	down-regulated	interaction	miR-205-5p	Regulate	up-regulated	lncRNA-miRNA	binding	RP11-395G23.3 and LA16c-313D11.11 |bind|miR-205-5p|upregulate|PTEN |inhibit| endometrial cancer	26807189	2015	Two novel genes RP11-395G23.3 and LA16c-313D11.11 associated with endometrial cancer were identified and proved to be non-coding RNAs. They were more effective ceRNAs associated with the miR-205-5p-PTEN network.	
EL0132	AC027031.2	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Therapeutic target	endometrial cancer	Cancer	N/A	N/A	qRT-PCR, western blot, overexpression, Luciferase reporter assays	Ishikawa and HEC-1A cells	N/A	down-regulated	interaction	miR-205-5p	Regulate	up-regulated	lncRNA-miRNA	binding	RP11-395G23.3 | bind | miRNA-205-5p | upregulate | PTEN |inhibite | the development and pathogenesis of EC	32913516	2020	LncRNA RP11-395G23.3 suppresses the endometrial cancer progression via regulating microRNA-205-5p/PTEN axis.	
EL0141	AC068039.4	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Disease treatment	hypoxic pulmonary hypertension	Others	Hypoxic	N/A	qRT-PCR, Western blot, Luciferase reporter assays	PASMCs	N/A	up-regulated	interaction	miR-26a-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AC068039.4 | bind | miR-26-5p | upregulate| TRPC6|promote|Hypoxic Pulmonary Arterial Hypertension	33026218	2021	Overexpressed lncRNA AC068039.4 Contributes to proliferation and cell Cycle Progression of Pulmonary Artery Smooth Muscle cells Via Sponging miR-26a-5p/TRPC6 in Hypoxic Pulmonary Arterial Hypertension	
EL0147	AC073284.4	Homo sapiens	EMT	N/A	Sponging miRNAs	Therapeutic target	breast cancer	Cancer	paclitaxel	N/A	dual-luciferase reporter gene assay	paclitaxel-resistant breast cancer cells	N/A	down-regulated	interaction	miR-18b-5p	Regulate	up-regulated	lncRNA-miRNA	binding	AC073284.4丨bind 丨miR-18b-5p丨upregulate丨DOCK4|inhibit|breast cancer	31215650	2019	Long noncoding RNA AC073284.4 suppresses epithelial-mesenchymal transition by sponging miR-18b-5p in paclitaxel-resistant breast cancer cells.	
EL0152	AC079949.2	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Disease treatment	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR	lung adenocarcinoma cells	N/A	up-regulated	interaction	miR-1252-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AL161431.1 |bind| miR-1252-5p|promote|LUAD	34486476	2021	AL161431.1 might exert a ‘sponge-like’ function by binding with miR-1252-5p.	
EL0161	AC092127.1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	breast cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, overexpression, Luciferase reporter assays, rescue experiments	human normal mammary cells (MCF-10A) and BC cells	N/A	up-regulated	interaction	miR-451a	Regulate	down-regulated	lncRNA-miRNA	binding	AC092127.1|bind|miR-451a|upregulate|AEBP2|promote|BC	34352938	2021	AC092127.1/miR-451a/AEBP2 axis contributes to BC cell growth, migration and invasion.	
EL0162	AC092155	Homo sapiens	Cell Differentiation	N/A	Sponging miRNAs	N/A	N/A	N/A	N/A	N/A	qRT-PCR	adipose-derived stem cells (ADSCs)	N/A	up-regulated	interaction	miR-143-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC092155|bind|miR-143-3p| STMN1 |promote|osteogenic differentiation of adipose-derived stem cells	33991434	2021	Long noncoding RNA AC092155 facilitates osteogenic differentiation of adipose-derived stem cells through the miR-143-3p/STMN1 axis.	
EL0170	AC093850.2	Homo sapiens	Disease-relevant functions	N/A	Sponging miRNAs	Promote disease	triple-negative breast cancer	Cancer	N/A	N/A	qRT-PCR	TNBC tissues and cell lines	N/A	up-regulated	interaction	miR-4299	Regulate	down-regulated	lncRNA-miRNA	binding	AC093850.2|bind|miR-4299|promote|triple-negative breast cancer	36812568	2023	lncRNA AC093850.2 predicts poor outcomes in patients with triple-negative breast cancer and motivates tumor progression by sponging miR-4299.	
EL0173	AC099850.3	Homo sapiens	Cell proliferation	Cytoplasm	Sponging miRNAs	Prognosis	lung adenocarcinoma	Cancer	N/A	N/A	qRT-PCR, overexpression	Lung cancer cell lines	N/A	up-regulated	interaction	miR-101-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC099850.3|bind|miR-101-3p|promote|LUAD	35646670	2022	Over-Expression of Long Non-Coding RNA-AC099850.3 Correlates With Tumor Progression and Poor Prognosis in Lung Adenocarcinoma.	
EL0183	AC108925	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Therapeutic target	tendon diseases	Others	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	tendon-derived stem cells	N/A	up-regulated	interaction	miR-146a-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC108925|dbindmiR-146a-3p|promote|osteoblast differentiation of tendon-derived stem cells	36463687	2023	LncRNA AC108925 promotes osteoblast differentiation of tendon-derived stem cells by targeting miR-146a-3p.	
EL0183	AC108925	Homo sapiens	Cell Differentiation	N/A	Signaling pathways regulation	Disease treatment	N/A	N/A	N/A	N/A	qRT-PCR	osteoblast differentiation of hTDSCs	N/A	differential expression	interaction	miR-146a-3p	Regulate	differential expression	lncRNA-miRNA	regulation	AC108925|trans|miR-146a-3p	36463687	2023	AC108925 can regulate the osteogenic differentiation of hTDSCs via regulating the miR-146a-3p.	
EL0185	AC114812.8	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Promote disease	bladder cancer	Cancer	N/A	N/A	overexpression, western blot, Luciferase reporter assays, rescue assay	bladder cancer cells	N/A	up-regulated	interaction	miR-371b-5p	Regulate	down-regulated	lncRNA-miRNA	binding	AC114812.8丨bind丨miR-371b-5p丨 upregulate丨FUT4 expression 丨promote丨BC progression	31706102	2020	Long noncoding RNA AC114812.8 promotes the progression of bladder cancer through miR-371b-5p/FUT4 axis.	
EL0186	AC116025.2	Homo sapiens	Apoptosis	N/A	Sponging miRNAs	Promote disease	esophageal cancer	Cancer	5-Fluorouracil	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	EC cells	N/A	up-regulated	interaction	miR-4496	Regulate	down-regulated	lncRNA-miRNA	binding	AC116025.2|bind|miR-4496|upregulate|SEMA5A|promote|5-fluorouracil resistance in EC cells	36239547	2022	AC116025.2 bound to miR-4496 that inversely targeted SEMA5A in EC cells promote 5-fluorouracil resistance.	
EL0189	AC125257.1	Homo sapiens	Cell proliferation	N/A	Sponging miRNAs	Promote disease	colorectal cancer	Cancer	N/A	N/A	qRT-PCR, knockdown, Western blot, overexpression, Luciferase reporter assays	HCoEpiCs, BFN608006386, SW480（BFN60800644）, HCT116（BFN607200665）, Caco-2（BFN60800651）, HCT-8（BFN60800647）	N/A	up-regulated	interaction	miR-133a-3p	Regulate	down-regulated	lncRNA-miRNA	binding	AC125257.1|bind|miR-133a-3p|bind|CASC5|promote|colorectal cancer	37009050	2023	CASC5 was proved to be targeted by miR-133a-3p. Moreover, rescue assays indicated that the knockdown of AC125257.1 suppressed the pathogenic overexpression of CASC5.	
